Smoothed_Point_X,Smoothed_Point_Y,Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1123,1536,1068,1097,1293,1774,1670281758.2424443
1122,1528,1068,1097,1293,1774,1670281758.276475
1119,1534,1129,1100,1572,1742,1670281758.3085034
1117,1540,1129,1100,1572,1742,1670281758.3395321
1125,1549,1175,1189,1323,1751,1670281758.3855743
1133,1558,1175,1189,1323,1751,1670281758.4095957
1106,1539,923,801,1251,1420,1670281758.446629
1079,1520,923,801,1251,1420,1670281758.4736538
1003,1413,473,328,483,453,1670281758.5086854
928,1306,473,328,483,453,1670281758.5407145
840,1186,325,78,459,209,1670281758.5747454
752,1066,325,78,459,209,1670281758.6047723
673,932,446,204,420,227,1670281758.638804
594,799,446,204,420,227,1670281758.6728349
493,681,245,100,418,293,1670281758.7098684
392,563,245,100,418,293,1670281758.7368922
323,458,247,96,450,118,1670281758.7819338
254,353,247,96,450,118,1670281758.8109598
240,335,346,172,388,201,1670281758.836984
226,318,346,172,388,201,1670281758.869013
225,302,192,200,401,-40,1670281758.9020424
225,287,192,200,401,-40,1670281758.9390771
197,271,-15,117,395,-74,1670281758.968103
170,254,-15,117,395,-74,1670281759.001329
152,245,-64,70,467,63,1670281759.038363
135,236,-64,70,467,63,1670281759.0693905
117,231,-4,-17,460,-1,1670281759.0994182
99,225,-4,-17,460,-1,1670281759.1314473
64,222,-129,-40,419,101,1670281759.1684904
30,218,-129,-40,419,101,1670281759.1980777
7,221,-43,-22,378,36,1670281759.2491236
-15,224,-43,-22,378,36,1670281759.265553
-6,245,124,156,474,264,1670281759.3025863
-6,253,-31,124,459,26,1670281759.382659
7,263,124,156,474,264,1670281759.3856616
11,261,-31,124,459,26,1670281759.3996742
72,289,553,644,445,566,1670281759.4387102
133,316,553,644,445,566,1670281759.4647348
270,385,1330,1238,801,1089,1670281759.5017693
407,453,1330,1238,801,1089,1670281759.5337958
531,523,1267,1165,775,1037,1670281759.5638227
656,593,1267,1165,775,1037,1670281759.6044064
775,638,1350,1302,784,853,1670281759.6344323
903,695,1350,1302,784,853,1670281759.6814744
1022,740,1350,1302,784,853,1670281759.7014947
1148,791,1368,1244,680,822,1670281759.7475355
1218,816,1368,1244,680,822,1670281759.7655509
1286,867,1281,1276,819,1206,1670281759.8085907
1286,873,1281,1276,819,1206,1670281759.8486276
1294,872,1406,1316,770,1086,1670281759.8716471
1308,874,1406,1316,770,1086,1670281759.9026756
1324,871,1356,1392,724,1022,1670281759.9327028
1322,876,1343,1271,725,1015,1670281759.973741
1320,881,1343,1271,725,1015,1670281760.0077705
1320,872,1373,1280,621,827,1670281760.0387995
1322,869,1373,1280,621,827,1670281760.0708165
1324,866,1373,1280,621,827,1670281760.103847
1322,843,1242,1273,704,862,1670281760.1358762
1320,820,1242,1273,704,862,1670281760.1679056
1338,816,1613,1470,799,975,1670281760.1999338
1378,824,1783,1734,962,1044,1670281760.2496722
1416,837,1783,1734,962,1044,1670281760.2738092
1461,850,1783,1734,962,1044,1670281760.313846
1509,863,1847,1711,939,1064,1670281760.331817
1542,898,1738,1581,971,1182,1670281760.3578415
1575,933,1738,1581,971,1182,1670281760.3888774
1612,958,1779,1613,943,1003,1670281760.4208987
1656,977,1779,1613,943,1003,1670281760.452933
1700,996,1779,1613,943,1003,1670281760.48796
1718,1016,1787,1660,978,1195,1670281760.5219913
1714,1025,1787,1660,978,1195,1670281760.5590239
1707,1036,1724,1646,964,1267,1670281760.583046
1700,1047,1724,1646,964,1267,1670281760.6180868
1696,1060,1806,1671,1055,1197,1670281760.6511078
1703,1065,1806,1671,1055,1197,1670281760.6826415
1708,1062,1769,1640,971,1123,1670281760.7146761
1709,1069,1769,1640,971,1123,1670281760.7499948
1717,1071,1857,1688,925,1065,1670281760.7980378
1724,1074,1857,1688,925,1065,1670281760.8140528
1718,1080,1722,1597,1035,1267,1670281760.8595965
1712,1087,1722,1597,1035,1267,1670281760.8826182
1707,1097,1720,1559,1111,1328,1670281760.9156482
1703,1107,1720,1559,1111,1328,1670281760.9467342
1689,1108,1643,1568,1062,1212,1670281760.9807653
1676,1110,1643,1568,1062,1212,1670281761.0183012
1638,1107,1303,1344,881,1154,1670281761.0533342
1600,1104,1303,1344,881,1154,1670281761.0863633
1527,1115,1061,1021,1004,1207,1670281761.1113863
1453,1126,1061,1021,1004,1207,1670281761.1444166
1376,1116,892,884,932,1167,1670281761.1794477
1299,1105,892,884,932,1167,1670281761.2114766
1241,1083,1055,1059,898,1099,1670281761.2445073
1183,1061,1055,1059,898,1099,1670281761.2975547
1116,1057,993,876,965,1235,1670281761.3135731
1049,1054,993,876,965,1235,1670281761.3496027
1013,1054,1015,930,914,1120,1670281761.3826327
978,1054,1015,930,914,1120,1670281761.4086561
980,1051,1048,1062,960,1197,1670281761.4807215
981,1048,1048,1062,960,1197,1670281761.5898206
994,1054,1012,1012,970,1237,1670281761.5988288
1006,1059,1012,1012,970,1237,1670281761.6068366
1002,1067,1013,1020,1012,1153,1670281761.6668916
996,1072,1019,982,945,1135,1670281761.6829057
1004,1070,1013,1020,1012,1153,1670281761.6839058
1011,1064,1019,982,945,1135,1670281761.7039242
1009,1069,960,954,964,1171,1670281761.7269452
1008,1074,960,954,964,1171,1670281761.7419596
996,1084,938,934,1056,1308,1670281761.774989
984,1095,938,934,1056,1308,1670281761.8100207
984,1096,978,1056,988,1245,1670281761.8400474
985,1097,978,1056,988,1245,1670281761.8760872
979,1094,942,975,951,1145,1670281761.9071102
975,1095,942,975,951,1145,1670281761.9431415
962,1098,895,889,972,1262,1670281761.9711666
952,1106,895,889,972,1262,1670281762.0112033
933,1073,741,807,680,806,1670281762.0372264
915,1041,741,807,680,806,1670281762.0752616
861,972,443,345,564,426,1670281762.1102927
807,903,443,345,564,426,1670281762.1433234
743,837,427,342,536,369,1670281762.1773536
680,771,427,342,536,369,1670281762.211385
616,701,375,265,413,289,1670281762.2384093
553,631,375,265,413,289,1670281762.270439
487,571,296,178,636,391,1670281762.302467
422,511,296,178,636,391,1670281762.375534
374,488,311,296,638,398,1670281762.4145694
327,466,311,296,638,398,1670281762.428582
311,487,256,207,742,665,1670281762.4486003
295,508,256,207,742,665,1670281762.4748566
279,533,256,207,742,665,1670281762.4998794
277,525,350,364,342,415,1670281762.5396457
288,524,385,476,398,278,1670281762.5676703
299,523,385,476,398,278,1670281762.6027024
319,479,485,400,233,-69,1670281762.631729
340,436,485,400,233,-69,1670281762.6637578
348,403,382,381,337,36,1670281762.6977897
356,370,382,381,337,36,1670281762.7287676
374,315,422,418,269,36,1670281762.7818153
393,259,422,418,269,36,1670281762.796832
413,237,369,486,587,370,1670281762.8308604
420,247,369,486,587,370,1670281762.8628895
420,261,369,486,587,370,1670281762.902929
426,260,468,523,473,180,1670281762.9359567
431,285,468,523,473,180,1670281762.9639816
440,305,472,582,460,121,1670281762.9965143
454,316,472,582,460,121,1670281763.029047
481,316,615,679,327,45,1670281763.062078
503,319,615,679,327,45,1670281763.0921052
525,336,633,643,392,242,1670281763.1271384
535,310,559,492,369,81,1670281763.1661732
545,285,559,492,369,81,1670281763.1962008
554,277,503,532,525,270,1670281763.2272296
556,284,503,532,525,270,1670281763.2662644
559,291,503,532,525,270,1670281763.306301
573,285,653,688,346,115,1670281763.3401408
588,279,653,688,346,115,1670281763.3581576
591,319,728,639,618,562,1670281763.4067051
595,360,728,639,618,562,1670281763.4327285
595,395,656,627,664,684,1670281763.4737663
607,440,656,627,664,684,1670281763.5058012
629,495,720,785,780,764,1670281763.5408278
653,532,720,785,780,764,1670281763.57686
681,553,802,788,680,524,1670281763.6138937
708,573,802,788,680,524,1670281763.6509373
708,627,662,664,804,727,1670281763.6879609
707,680,662,664,804,727,1670281763.7029746
704,702,607,714,831,772,1670281763.7289977
702,723,607,714,831,772,1670281763.7540221
717,761,787,795,1154,958,1670281763.7920556
732,799,787,795,1154,958,1670281763.8190796
739,823,812,830,978,1041,1670281763.8531115
746,847,812,830,978,1041,1670281763.8841395
747,894,802,809,1026,1122,1670281763.9371874
748,941,802,809,1026,1122,1670281763.9542027
774,972,929,927,1031,1127,1670281763.9952402
801,1006,875,985,1053,1151,1670281764.0222774
828,1036,875,985,1053,1151,1670281764.0582972
855,1066,875,985,1053,1151,1670281764.0843246
870,1075,928,965,984,1303,1670281764.1193528
886,1084,928,965,984,1303,1670281764.147378
885,1107,758,859,1127,1356,1670281764.18241
883,1130,758,859,1127,1356,1670281764.2154398
893,1126,895,912,958,1107,1670281764.2552001
903,1122,895,912,958,1107,1670281764.283226
913,1110,1028,1023,916,1007,1670281764.3212602
922,1096,1028,1023,916,1007,1670281764.346283
916,1076,913,823,883,928,1670281764.3843174
910,1057,913,823,883,928,1670281764.4143455
902,1059,851,886,1017,1311,1670281764.4623885
894,1061,851,886,1017,1311,1670281764.4804049
908,1043,937,967,959,1175,1670281764.51944
923,1026,937,967,959,1175,1670281764.555473
916,1033,829,839,1031,1180,1670281764.5844991
909,1040,829,839,1031,1180,1670281764.6115236
