Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
2503,2127,250,676,1669661032.0507402
633,630,132,260,1669661040.1380465
656,692,235,395,1669661040.1770828
766,801,120,541,1669661040.225126
766,801,120,541,1669661040.2611597
869,903,610,1015,1669661040.2951908
869,903,610,1015,1669661040.3302224
1250,1124,943,1108,1669661040.3672552
1250,1124,943,1108,1669661040.402288
1183,1245,1124,1082,1669661040.435318
1183,1245,1124,1082,1669661040.4703496
1071,1236,1502,1301,1669661040.5053818
1071,1236,1502,1301,1669661040.5394125
1272,1357,1505,1177,1669661040.5744448
1272,1357,1505,1177,1669661040.6094766
1200,1361,1860,1311,1669661040.643508
1200,1361,1860,1311,1669661040.6785395
1113,1008,1485,1167,1669661040.713571
1113,1008,1485,1167,1669661040.7506056
990,780,1438,1074,1669661040.7846475
990,780,1438,1074,1669661040.8196726
923,778,1447,1222,1669661040.8547003
923,778,1447,1222,1669661040.8897321
881,812,1044,931,1669661040.924764
881,812,1044,931,1669661040.959796
1286,1029,81,511,1669661040.9958286
1286,1029,81,511,1669661041.0308037
1297,1055,377,607,1669661041.065836
1297,1055,377,607,1669661041.1028724
1160,1151,293,656,1669661041.1379032
1160,1151,293,656,1669661041.1729357
1272,1254,309,565,1669661041.2089682
1272,1254,309,565,1669661041.2450013
1243,1215,798,619,1669661041.2790325
1138,1307,1062,874,1669661041.3399675
1138,1307,1062,874,1669661041.3739986
1150,1282,1346,984,1669661041.4200163
1150,1282,1346,984,1669661041.4540505
1105,1246,1057,1006,1669661041.4870799
1105,1246,1057,1006,1669661041.5221148
1047,1261,998,855,1669661041.5561457
1047,1261,998,855,1669661041.5901778
1096,1249,851,838,1669661041.6232064
1096,1249,851,838,1669661041.6562366
1115,1198,1167,945,1669661041.6912687
1115,1198,1167,945,1669661041.725062
1097,1204,1103,876,1669661041.759093
1097,1204,1103,876,1669661041.7941248
1112,1191,1028,869,1669661041.8284304
1112,1191,1028,869,1669661041.8654637
1077,1165,662,855,1669661041.899495
1077,1165,662,855,1669661041.9346576
1212,1178,1521,1235,1669661041.9686887
1212,1178,1521,1235,1669661042.0027194
1418,1195,1801,1217,1669661042.0377514
1418,1195,1801,1217,1669661042.0747852
1273,1046,2083,1443,1669661042.109817
1273,1046,2083,1443,1669661042.144849
1382,1089,1668,1379,1669661042.1798816
1382,1089,1668,1379,1669661042.218917
1396,1122,1902,1495,1669661042.2549498
1396,1122,1902,1495,1669661042.2889805
1173,1190,1738,1462,1669661042.3240125
1173,1190,1738,1462,1669661042.3590443
1200,1168,1947,1367,1669661042.3940763
1200,1168,1947,1367,1669661042.4281101
1344,1210,1720,1198,1669661042.4621382
1344,1210,1720,1198,1669661042.4991722
1642,1374,966,937,1669661042.5352051
1642,1374,966,937,1669661042.569236
1495,1327,1371,1105,1669661042.6062696
1495,1327,1371,1105,1669661042.6403008
1664,1470,1632,1196,1669661042.6753325
1664,1470,1632,1196,1669661042.7093635
1215,1282,1461,1130,1669661042.7433946
1215,1282,1461,1130,1669661042.7794278
1171,1356,878,1023,1669661042.8144593
1146,1163,1109,1029,1669661042.8759615
1146,1163,1109,1029,1669661042.9099925
1275,1215,1195,1034,1669661042.9450245
1275,1215,1195,1034,1669661042.981058
1280,1175,1077,1024,1669661043.0199618
1280,1175,1077,1024,1669661043.0539927
1212,1041,1191,1128,1669661043.0890245
1212,1041,1191,1128,1669661043.1240566
1001,856,1290,874,1669661043.1590886
1001,856,1290,874,1669661043.1941204
820,982,1101,998,1669661043.2291515
820,982,1101,998,1669661043.2641842
840,988,978,973,1669661043.3002174
840,988,978,973,1669661043.33625
901,945,1477,1008,1669661043.3772876
901,945,1477,1008,1669661043.411319
1319,1215,1296,865,1669661043.4473512
1319,1215,1296,865,1669661043.4833841
1322,1331,857,715,1669661043.5174153
1322,1331,857,715,1669661043.552447
1188,1205,1178,626,1669661043.5874789
1188,1205,1178,626,1669661043.6215098
1185,1244,1065,826,1669661043.6565416
1185,1244,1065,826,1669661043.6905727
1211,1235,1334,775,1669661043.7276065
1211,1235,1334,775,1669661043.7616377
1241,1257,846,704,1669661043.7956684
1241,1257,846,704,1669661043.8296998
1177,1220,1245,716,1669661043.8647318
1177,1220,1245,716,1669661043.8997638
1187,1173,528,623,1669661043.9337945
1187,1173,528,623,1669661043.9688265
1208,1156,1133,664,1669661044.0028574
1208,1156,1133,664,1669661044.0368886
1193,1304,820,776,1669661044.0729213
1193,1304,820,776,1669661044.1069522
1172,1205,820,777,1669661044.1419842
1213,1247,807,808,1669661044.2200553
1213,1247,807,808,1669661044.2540865
1259,1318,1108,813,1669661044.2881174
1259,1318,1108,813,1669661044.3221486
1310,1197,640,826,1669661044.3581812
1310,1197,640,826,1669661044.3922124
800,739,281,529,1669661044.4272513
800,739,281,529,1669661044.462276
790,692,382,307,1669661044.4973083
790,692,382,307,1669661044.533341
855,664,56,291,1669661044.5693736
855,664,56,291,1669661044.6034048
598,791,-72,374,1669661044.6394377
598,791,-72,374,1669661044.6744697
626,617,172,273,1669661044.7085004
626,617,172,273,1669661044.7425315
563,599,464,250,1669661044.7775633
563,599,464,250,1669661044.8115945
538,614,139,261,1669661044.8486283
538,614,139,261,1669661044.8826594
653,626,103,229,1669661044.91669
653,626,103,229,1669661044.9517224
613,614,487,242,1669661044.985753
613,614,487,242,1669661045.0197837
547,684,361,277,1669661045.0538156
547,684,361,277,1669661045.0888472
444,655,37,402,1669661045.1228783
444,655,37,402,1669661045.15791
527,650,51,257,1669661045.193943
527,650,51,257,1669661045.2299757
476,604,532,245,1669661045.265007
476,604,532,245,1669661045.2990386
498,589,257,337,1669661045.3340707
498,589,257,337,1669661045.3701043
529,597,581,345,1669661045.4041345
529,597,581,345,1669661045.4391663
907,1160,438,524,1669661045.4731975
907,1160,438,524,1669661045.5072284
1014,1105,615,840,1669661045.5412595
1014,1105,615,840,1669661045.5772922
