Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
2790,3047,475,527,1669562866.6281223
1240,1304,1118,1206,1669562875.6592894
1138,1321,1157,1203,1669562875.6943212
1219,1169,826,666,1669562875.7423651
1219,1169,826,666,1669562875.7773972
1013,943,816,482,1669562875.8134296
1013,943,816,482,1669562875.8484614
811,754,545,428,1669562875.8824923
811,754,545,428,1669562875.9175246
1327,1310,599,716,1669562875.951555
1327,1310,599,716,1669562875.987588
1382,1232,222,402,1669562876.0236208
1382,1232,222,402,1669562876.0576515
1845,1712,118,162,1669562876.0946858
1845,1712,118,162,1669562876.1297169
1971,1939,177,201,1669562876.1647494
1971,1939,177,201,1669562876.2007818
1993,1959,195,67,1669562876.2358136
1993,1959,195,67,1669562876.2708452
2202,1981,340,237,1669562876.3098807
2202,1981,340,237,1669562876.3449123
2327,2671,288,364,1669562876.3789442
2327,2671,288,364,1669562876.4129746
2528,2570,450,438,1669562876.4500127
2528,2570,450,438,1669562876.4840393
2485,2566,289,622,1669562876.5190723
2485,2566,289,622,1669562876.5541031
2638,2492,409,505,1669562876.5891352
2638,2492,409,505,1669562876.624167
2750,2726,360,469,1669562876.6591988
2750,2726,360,469,1669562876.6952314
2610,2792,-8,550,1669562876.7292624
2610,2792,-8,550,1669562876.7642944
2495,2973,265,502,1669562876.7993264
2616,2991,-135,233,1669562876.864277
2616,2991,-135,233,1669562876.8983078
2317,2661,345,549,1669562876.9422743
2317,2661,345,549,1669562876.9783082
2310,2631,69,609,1669562877.0163426
2310,2631,69,609,1669562877.0513744
2398,3046,347,432,1669562877.085405
2398,3046,347,432,1669562877.1224396
2531,3040,257,561,1669562877.157471
2531,3040,257,561,1669562877.1915019
2136,2299,371,597,1669562877.2275348
2136,2299,371,597,1669562877.2615654
1914,2005,404,585,1669562877.2965975
1914,2005,404,585,1669562877.3316295
1771,1844,500,861,1669562877.3656602
1771,1844,500,861,1669562877.4016929
1875,2053,354,678,1669562877.435724
1875,2053,354,678,1669562877.4687536
1898,2017,536,674,1669562877.503786
1898,2017,536,674,1669562877.537817
1865,1880,678,736,1669562877.5728486
1865,1880,678,736,1669562877.6078806
2028,1894,625,434,1669562877.6439135
2028,1894,625,434,1669562877.681948
1944,2061,449,485,1669562877.7159789
1944,2061,449,485,1669562877.7520118
2439,2454,460,870,1669562877.7870436
2439,2454,460,870,1669562877.8220754
2615,2623,918,1196,1669562877.8571074
2615,2623,918,1196,1669562877.892139
2350,2696,729,1244,1669562877.927171
2350,2696,729,1244,1669562877.963204
2763,2859,787,1137,1669562877.9992404
2708,2850,682,1121,1669562878.0632763
2708,2850,682,1121,1669562878.0973072
2569,2669,411,792,1669562878.1432762
2569,2669,411,792,1669562878.1793091
2466,2571,239,669,1669562878.2173438
2466,2571,239,669,1669562878.2533767
2150,2370,118,425,1669562878.2894094
2150,2370,118,425,1669562878.3244412
2181,2709,-153,351,1669562878.359473
2181,2709,-153,351,1669562878.3995094
2258,2401,23,265,1669562878.4335406
2258,2401,23,265,1669562878.4675713
2457,2544,160,370,1669562878.5016024
2457,2544,160,370,1669562878.5346322
2331,2636,192,475,1669562878.569664
2331,2636,192,475,1669562878.605697
2499,2740,40,467,1669562878.6407292
2499,2740,40,467,1669562878.674765
2287,2811,268,602,1669562878.7097983
2287,2811,268,602,1669562878.7458246
2420,2594,-14,321,1669562878.7828581
2420,2594,-14,321,1669562878.81789
2349,2496,81,97,1669562878.852922
2349,2496,81,97,1669562878.8889546
2557,2500,231,249,1669562878.9239864
2557,2500,231,249,1669562878.960019
2561,2785,329,541,1669562878.9950516
2561,2785,329,541,1669562879.0300832
2522,2655,131,484,1669562879.0661159
2522,2655,131,484,1669562879.1041505
2385,2442,185,383,1669562879.1391823
2043,2342,318,512,1669562879.1992805
2043,2342,318,512,1669562879.2353134
2416,2413,350,569,1669562879.2723467
2416,2413,350,569,1669562879.3083794
2398,2924,391,475,1669562879.3434153
2398,2924,391,475,1669562879.3774424
2439,2917,276,341,1669562879.4124744
2439,2917,276,341,1669562879.4505088
2523,2889,232,418,1669562879.4875429
2523,2889,232,418,1669562879.5215783
2141,2259,79,327,1669562879.555612
2141,2259,79,327,1669562879.5896356
2332,2164,195,564,1669562879.6246674
2332,2164,195,564,1669562879.661701
2203,1679,522,525,1669562879.696733
2203,1679,522,525,1669562879.7337663
1150,369,680,187,1669562879.768798
1150,369,680,187,1669562879.8088348
1254,792,933,511,1669562879.8448675
1254,792,933,511,1669562879.8809004
1266,1147,959,1101,1669562879.919936
1266,1147,959,1101,1669562879.954967
1321,1068,1237,987,1669562879.9899998
1321,1068,1237,987,1669562880.0270333
1281,1342,1100,1180,1669562880.0620651
1281,1342,1100,1180,1669562880.0980978
1270,1097,984,963,1669562880.1351318
1270,1097,984,963,1669562880.1741667
1154,1358,632,687,1669562880.2162054
1363,1366,893,925,1669562880.2702744
1363,1366,893,925,1669562880.3073077
1275,1150,992,769,1669562880.3433409
1275,1150,992,769,1669562880.3793736
1229,712,862,683,1669562880.4144056
1229,712,862,683,1669562880.4504385
1100,921,617,664,1669562880.48547
1100,921,617,664,1669562880.5235047
1102,853,630,610,1669562880.5585368
1102,853,630,610,1669562880.5935686
1041,774,514,442,1669562880.630602
1041,774,514,442,1669562880.6656342
1144,769,729,456,1669562880.7006662
1144,769,729,456,1669562880.735698
1136,743,767,404,1669562880.7707295
1136,743,767,404,1669562880.8047643
1328,683,1044,400,1669562880.8397927
1328,683,1044,400,1669562880.8758252
1121,931,499,394,1669562880.9108572
1121,931,499,394,1669562880.945889
1179,1069,683,368,1669562880.9819217
1179,1069,683,368,1669562881.0179539
