Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
3111,2645,-1679,54,1669562749.99247
1911,1368,4233,1803,1669562759.1932933
2739,2358,4275,1826,1669562759.229326
2648,2546,4871,2091,1669562759.2743676
2648,2546,4871,2091,1669562759.309399
2597,2429,4448,2556,1669562759.3444307
2597,2429,4448,2556,1669562759.3784616
2855,2432,4241,2615,1669562759.4124928
2855,2432,4241,2615,1669562759.4485254
3077,2638,5893,3026,1669562759.4855587
3077,2638,5893,3026,1669562759.51959
2939,2589,4718,2367,1669562759.555622
2939,2589,4718,2367,1669562759.5936666
3555,2606,746,1786,1669562759.628689
3555,2606,746,1786,1669562759.6637204
3807,3049,-1062,-19,1669562759.6997538
3807,3049,-1062,-19,1669562759.7347858
3585,3212,-1049,-263,1669562759.773821
3585,3212,-1049,-263,1669562759.807852
3717,3296,-786,-674,1669562759.842884
3717,3296,-786,-674,1669562759.8809185
4051,3606,-1148,-424,1669562759.9149497
4051,3606,-1148,-424,1669562759.9509823
4234,3843,-1208,-407,1669562759.9860141
4234,3843,-1208,-407,1669562760.021048
4268,3847,-1323,-150,1669562760.0570788
4268,3847,-1323,-150,1669562760.09111
4554,3624,-1410,13,1669562760.1291447
4554,3624,-1410,13,1669562760.1661782
4551,3742,-1306,-281,1669562760.2042127
4551,3742,-1306,-281,1669562760.244249
3535,3379,-463,186,1669562760.2802818
3897,3328,1215,560,1669562760.330275
3897,3328,1215,560,1669562760.3653066
4471,3609,1005,1005,1669562760.4003386
4471,3609,1005,1005,1669562760.4353774
4367,3491,1043,1187,1669562760.4744089
4367,3491,1043,1187,1669562760.5094411
4887,3568,58,154,1669562760.5444727
4887,3568,58,154,1669562760.5785036
5117,3505,-462,32,1669562760.6135354
5117,3505,-462,32,1669562760.64957
4840,3530,-910,293,1669562760.685604
4840,3530,-910,293,1669562760.7226348
4644,3289,-1417,347,1669562760.759669
4644,3289,-1417,347,1669562760.7957013
4274,3073,-981,377,1669562760.831734
4274,3073,-981,377,1669562760.866766
3556,2993,-1196,1142,1669562760.9027991
