Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1039,789,497,734,1663440387.9381711
1039,789,497,734,1663440387.9782073
1041,806,732,1079,1663440388.016242
1057,835,453,647,1663440388.0522745
1054,825,818,796,1663440388.0903099
1054,825,818,796,1663440388.1293452
901,719,556,1002,1663440388.1653776
901,719,556,1002,1663440388.2014108
923,769,420,909,1663440388.2394447
883,693,568,1071,1663440388.2744765
856,839,873,1101,1663440388.3115108
856,839,873,1101,1663440388.348544
983,701,401,908,1663440388.3845768
1055,849,685,957,1663440388.4226115
932,775,848,1004,1663440388.457643
1247,965,772,1115,1663440388.5016832
1133,813,833,914,1663440396.116918
1442,1023,651,997,1663440396.1529503
1222,830,880,983,1663440396.1889834
1234,860,1024,993,1663440396.2310214
1229,790,808,1012,1663440396.280063
1229,790,808,1012,1663440396.3140938
1222,981,862,988,1663440396.348125
912,725,944,1036,1663440396.3831568
1170,778,984,1022,1663440396.4171877
1170,778,984,1022,1663440396.4502175
1318,861,675,955,1663440396.4872513
1417,1024,829,1115,1663440396.5212815
1440,1199,981,1189,1663440396.5573144
1463,1030,975,1150,1663440396.591346
1478,1199,815,1115,1663440396.625377
1478,1199,815,1115,1663440396.6604302
1540,1210,1443,1323,1663440396.6964629
1493,1111,919,1185,1663440396.7304938
1598,1257,1513,1384,1663440396.7659614
1568,1266,1436,1304,1663440396.800993
1568,1266,1436,1304,1663440396.8340247
1585,1302,944,1176,1663440396.8690622
1362,1280,1399,1318,1663440396.9050896
1369,1265,1067,1288,1663440396.9399455
1576,1295,1313,1273,1663440396.9749773
1589,1182,1324,1320,1663440397.0100093
1589,1182,1324,1320,1663440397.0440485
1594,1189,1206,1259,1663440397.0780733
1382,1268,1401,1356,1663440397.113105
1599,1178,872,1172,1663440397.146959
1599,1178,872,1172,1663440397.1809902
1352,1111,1378,1258,1663440397.21402
1522,1128,1315,1239,1663440397.2480536
1406,1300,1372,1257,1663440397.2810838
1406,1300,1372,1257,1663440397.3181174
1637,1224,956,1228,1663440397.3511472
1673,1399,1018,1245,1663440397.386179
1626,1356,845,1236,1663440397.4202101
1380,1267,1509,1358,1663440397.454241
1579,1180,905,1224,1663440397.489273
1579,1180,905,1224,1663440397.5233037
1436,1322,1043,1278,1663440397.5593364
1665,1395,1414,1324,1663440397.5943682
1407,1164,1014,1272,1663440397.631402
1717,1371,886,1088,1663440397.6674347
1717,1371,886,1088,1663440397.7024665
1944,1556,1063,1016,1663440397.7374985
1814,1640,592,1038,1663440397.7725308
1773,1617,780,1052,1663440397.8155694
1743,1584,700,1032,1663440397.863939
1739,1527,700,1091,1663440397.8989708
1915,1576,810,1091,1663440397.9440117
1915,1576,810,1091,1663440397.9780428
1754,1692,1276,1284,1663440398.0120738
1911,1574,577,968,1663440398.0611184
1890,1716,652,966,1663440398.0951493
1890,1716,652,966,1663440398.1291802
1833,1677,621,1039,1663440398.1632113
1833,1677,621,1039,1663440398.1972418
1873,1525,709,936,1663440398.2312727
1861,1533,682,946,1663440398.2663066
1656,1515,758,1037,1663440398.3013368
1656,1515,758,1037,1663440398.342374
1659,1489,747,983,1663440398.3784068
1728,1462,811,1072,1663440398.4134383
1648,1518,768,1027,1663440398.4524744
1648,1518,768,1027,1663440398.4865048
1890,1584,704,971,1663440398.5225375
1938,1539,656,955,1663440398.5575695
1958,1547,710,1016,1663440398.5936024
1730,1544,824,978,1663440398.629635
1706,1448,850,1076,1663440398.664667
1706,1448,850,1076,1663440398.6986978
1670,1486,761,1033,1663440398.7337296
1661,1486,649,1019,1663440398.7677603
1828,1513,750,962,1663440398.8037934
1852,1509,636,1014,1663440398.8378243
1852,1509,636,1014,1663440398.872856
1671,1638,768,1091,1663440398.9088886
1677,1477,1094,1061,1663440398.9429197
1597,1451,686,910,1663440398.976951
1864,1475,756,1022,1663440399.0119824
1813,1500,676,973,1663440399.046013
1813,1500,676,973,1663440399.0800443
2175,1962,627,644,1663440399.1150763
2046,1993,561,561,1663440399.1491072
2110,2043,782,649,1663440399.1941473
2003,1986,853,722,1663440399.2301812
2003,1986,853,722,1663440399.2632113
1842,2156,824,772,1663440399.296241
1978,2161,709,732,1663440399.3312721
2053,2081,904,667,1663440399.3653035
2217,2009,570,807,1663440399.400335
1919,1905,778,639,1663440399.4353673
1919,1905,778,639,1663440399.4734018
2106,2190,637,948,1663440399.5074332
2041,2184,816,780,1663440399.5424647
2042,2134,802,719,1663440399.5774963
1926,1989,511,574,1663440399.6125286
1926,1989,511,574,1663440399.6475604
1963,2111,787,712,1663440399.6815906
2061,2153,730,720,1663440399.7166228
1969,1985,693,695,1663440399.751655
1766,1943,644,638,1663440399.7866867
1766,1943,644,638,1663440399.8217187
2036,1970,675,686,1663440399.8557491
2016,1994,653,935,1663440399.8897805
2008,1995,559,575,1663440399.927815
2026,2054,643,810,1663440399.9628468
2026,2054,643,810,1663440399.9978786
2123,2038,724,922,1663440400.0399172
2036,2104,669,662,1663440400.073948
2047,2000,632,571,1663440400.1089797
2047,2000,632,571,1663440400.1430109
2044,1988,735,571,1663440400.1780427
2044,1988,735,571,1663440400.211072
1851,1959,519,573,1663440400.2441025
2145,2194,770,892,1663440400.2791378
2045,2006,623,609,1663440400.3151724
2045,2006,623,609,1663440400.3501987
1989,2022,619,638,1663440400.38423
1955,1954,537,585,1663440400.4192615
1908,1679,539,455,1663440400.4552944
1908,1679,539,455,1663440400.4903262
1151,855,266,765,1663440400.524358
1194,754,245,731,1663440400.5593889
1216,892,240,812,1663440400.5934198
928,700,293,807,1663440400.628452
1263,819,200,637,1663440400.6634836
1263,819,200,637,1663440400.7005174
1089,948,206,774,1663440400.7355492
1028,751,237,811,1663440400.771582
1035,749,311,811,1663440400.8066137
1051,762,274,847,1663440400.8406446
1051,762,274,847,1663440400.8746755
1116,736,365,438,1663440400.9087062
984,713,267,550,1663440400.9447393
1206,767,263,500,1663440400.9787698
1094,740,-82,529,1663440401.0158033
1061,733,536,802,1663440401.051837
1061,733,536,802,1663440401.0868685
403,220,754,708,1663440401.1208994
542,187,471,612,1663440401.155931
314,271,727,726,1663440401.191964
384,74,220,623,1663440401.2249937
384,74,220,623,1663440401.2590249
416,248,245,592,1663440401.292055
224,124,229,650,1663440401.3250847
455,339,83,680,1663440401.3591158
271,123,176,651,1663440401.3991523
318,179,743,808,1663440401.4351852
318,179,743,808,1663440401.4702168
304,182,301,675,1663440401.504248
230,190,213,739,1663440401.5392797
440,382,355,739,1663440401.5733106
160,29,390,754,1663440401.6073415
160,29,390,754,1663440401.6423733
391,78,209,644,1663440401.678406
453,315,178,629,1663440401.7124372
413,68,698,718,1663440401.7474687
366,364,322,632,1663440401.7814999
366,364,322,632,1663440401.8195345
1005,766,194,530,1663440401.8555675
1670,965,290,478,1663440401.8916
1501,975,296,563,1663440401.9266317
1327,989,396,542,1663440401.9616635
1327,989,396,542,1663440401.9966953
1506,980,295,491,1663440402.0317268
1453,981,254,421,1663440402.0667593
1496,1000,314,489,1663440402.103793
1496,1000,314,489,1663440402.1378238
1438,984,113,469,1663440402.1728554
