Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
984,1168,-76,-601,1663439746.941257
1097,1350,146,-180,1663439746.9802923
1097,1350,146,-180,1663439747.0163252
1179,1617,246,61,1663439747.0553613
1179,1617,246,61,1663439747.0943964
972,1256,-40,-194,1663439747.1304293
1048,1360,256,-237,1663439747.1828656
1048,1360,256,-237,1663439747.2188985
1056,1535,225,-40,1663439747.2549314
1056,1535,225,-40,1663439747.292966
697,1082,196,-131,1663439747.3269966
697,1082,196,-131,1663439747.362029
1152,1435,-15,-147,1663439747.397061
1152,1435,-15,-147,1663439747.4310915
939,1170,47,-391,1663439747.4671273
939,1170,47,-391,1663439747.5051584
1155,1065,49,-770,1663439747.5401902
739,1513,406,329,1663439755.2402608
293,940,362,377,1663439755.275293
768,1241,397,311,1663439755.3216648
547,1102,538,380,1663439755.3847098
547,1102,538,380,1663439755.4197412
459,978,321,19,1663439755.454773
459,978,321,19,1663439755.4898064
301,949,378,391,1663439755.524837
301,949,378,391,1663439755.5588682
617,957,513,306,1663439755.592899
617,957,513,306,1663439755.6269305
617,957,513,306,1663439755.6629627
221,1038,565,448,1663439755.696994
483,880,450,438,1663439755.7330263
483,880,450,438,1663439755.7670572
491,935,395,415,1663439755.805092
491,935,395,415,1663439755.8401248
556,1101,521,247,1663439755.8731544
556,1101,521,247,1663439755.9081855
541,1099,605,308,1663439755.9432175
306,968,424,256,1663439755.9782495
677,1029,424,229,1663439756.0566645
816,1346,437,189,1663439756.121315
816,1346,437,189,1663439756.1563466
1127,1795,496,356,1663439756.1903777
1127,1795,496,356,1663439756.2251382
1349,1944,594,407,1663439756.2601721
1349,1944,594,407,1663439756.2952018
1516,2231,747,525,1663439756.3292327
1516,2231,747,525,1663439756.3622632
1182,1646,632,406,1663439756.3972945
1182,1646,632,406,1663439756.4340572
1182,1646,632,406,1663439756.4680882
546,1356,-4,-158,1663439756.5021188
673,1144,-112,-347,1663439756.5371509
673,1144,-112,-347,1663439756.5731835
691,1192,55,-283,1663439756.6082153
691,1192,55,-283,1663439756.6422465
517,1079,-154,-425,1663439756.6782792
517,1079,-154,-425,1663439756.713311
503,1324,-117,-383,1663439756.7483428
198,1095,-83,-388,1663439756.782374
-21,631,-84,-369,1663439756.856665
195,996,17,-148,1663439756.9206655
195,996,17,-148,1663439756.953696
-11,765,37,-219,1663439756.986726
-11,765,37,-219,1663439757.0197587
-102,564,11,-296,1663439757.0547905
-102,564,11,-296,1663439757.0878205
365,1117,283,250,1663439757.1208508
365,1117,283,250,1663439757.1558824
597,946,376,375,1663439757.1899133
597,946,376,375,1663439757.2239442
597,946,376,375,1663439757.2569735
438,969,293,-59,1663439757.2920072
611,1199,300,50,1663439757.3270373
611,1199,300,50,1663439757.3620698
115,1037,523,127,1663439757.3961003
115,1037,523,127,1663439757.4321344
-7,527,787,730,1663439757.4671648
-7,527,787,730,1663439757.5021973
503,662,526,645,1663439757.53823
503,662,526,645,1663439757.5732617
433,899,864,838,1663439757.6062918
433,899,864,838,1663439757.641323
433,899,864,838,1663439757.6753547
738,617,746,796,1663439757.7093856
427,526,884,748,1663439757.7444172
427,526,884,748,1663439757.779449
-417,4,990,756,1663439757.81348
-417,4,990,756,1663439757.8465095
-96,397,963,714,1663439757.8815446
-96,397,963,714,1663439757.914572
85,345,640,729,1663439757.9486039
47,321,759,747,1663439757.9836347
-251,330,831,846,1663439758.057387
-388,-73,734,741,1663439758.129623
-388,-73,734,741,1663439758.1646557
-35,411,711,788,1663439758.1986868
-35,411,711,788,1663439758.2337182
-290,313,791,547,1663439758.267749
-290,313,791,547,1663439758.302788
36,227,625,797,1663439758.335811
36,227,625,797,1663439758.371843
12,481,700,800,1663439758.4058743
12,481,700,800,1663439758.4409063
12,481,700,800,1663439758.4779396
-551,-325,193,291,1663439758.5139725
-278,54,278,-148,1663439758.551007
-278,54,278,-148,1663439758.5850372
-509,-127,78,-132,1663439758.6210716
-509,-127,78,-132,1663439758.667112
-693,-430,64,-599,1663439758.7071483
-693,-430,64,-599,1663439758.742181
-547,-485,487,-604,1663439758.7772124
-940,-548,151,-954,1663439758.8142514
-583,-403,17,-766,1663439758.8582869
-524,106,322,-632,1663439758.9213433
-524,106,322,-632,1663439758.9553742
-522,-67,-40,-1008,1663439758.9884038
-522,-67,-40,-1008,1663439759.0234358
-746,-285,255,-498,1663439759.0574672
-746,-285,255,-498,1663439759.0914977
-1235,-203,387,-310,1663439759.1255279
-1235,-203,387,-310,1663439759.1605604
-1382,-49,322,-326,1663439759.1985943
-1382,-49,322,-326,1663439759.2356286
-1382,-49,322,-326,1663439759.2706602
-1334,-317,702,-229,1663439759.3056922
-1177,-298,542,-218,1663439759.3387225
-1177,-298,542,-218,1663439759.371753
-1193,133,614,-56,1663439759.4057841
-1193,133,614,-56,1663439759.4398146
-1892,-276,701,-171,1663439759.4738457
-1892,-276,701,-171,1663439759.5078766
-1519,-229,662,-70,1663439759.5419066
-1519,-229,662,-70,1663439759.5769398
-1497,261,614,34,1663439759.6109693
-1497,261,614,34,1663439759.6439996
-1497,261,614,34,1663439759.6780312
-1459,167,660,103,1663439759.7120621
-1224,-85,545,-44,1663439759.747095
-1224,-85,545,-44,1663439759.7821267
-1344,39,559,-22,1663439759.8161573
-1344,39,559,-22,1663439759.8501878
-1372,336,672,65,1663439759.8832173
-1372,336,672,65,1663439759.9172487
-1114,356,607,-3,1663439759.9512796
-1300,323,539,-22,1663439759.9843097
-1532,278,665,62,1663439760.056672
-1282,100,513,-56,1663439760.1217313
-1282,100,513,-56,1663439760.1587646
-1475,160,507,-214,1663439760.2008033
-1475,160,507,-214,1663439760.2348342
-1240,213,455,-144,1663439760.269866
-1240,213,455,-144,1663439760.3048978
-1459,-94,438,-165,1663439760.3389285
-1459,-94,438,-165,1663439760.3759623
-1526,-64,509,-90,1663439760.4099946
-1526,-64,509,-90,1663439760.4440243
-1526,-64,509,-90,1663439760.480057
-1158,27,505,-60,1663439760.5160906
-1193,-7,415,-62,1663439760.5521226
-1193,-7,415,-62,1663439760.5861533
-1417,-21,462,-83,1663439760.6221867
-1417,-21,462,-83,1663439760.6572177
-1639,-442,471,-54,1663439760.6922498
-1639,-442,471,-54,1663439760.7262802
-942,-15,432,-151,1663439760.7623134
-1221,303,522,-26,1663439760.7963445
-1189,34,454,-64,1663439760.8566303
-1368,-321,480,-62,1663439760.9206657
-1368,-321,480,-62,1663439760.955697
-960,-86,350,-351,1663439760.9894128
-960,-86,350,-351,1663439761.0254462
-589,1003,559,32,1663439761.0634797
-589,1003,559,32,1663439761.1020167
582,1512,689,-63,1663439761.140052
582,1512,689,-63,1663439761.1820898
1495,2341,752,106,1663439761.2229047
1495,2341,752,106,1663439761.2609391
1495,2341,752,106,1663439761.3029768
1469,2348,356,44,1663439761.3420126
1499,2076,408,-144,1663439761.3830502
1499,2076,408,-144,1663439761.4230864
1790,2414,409,270,1663439761.4621215
1760,2565,236,-28,1663439761.5191739
1760,2565,236,-28,1663439761.5572076
2212,2371,360,70,1663439761.5972445
2212,2371,360,70,1663439761.6372812
2212,2371,360,70,1663439761.6773174
2210,2440,249,77,1663439761.7153518
2041,2281,455,149,1663439761.7533865
2041,2281,455,149,1663439761.7904193
2305,2609,252,161,1663439761.8294556
2305,2609,252,161,1663439761.868492
2030,2273,274,-33,1663439761.9055247
2030,2273,274,-33,1663439761.9375536
1766,2117,308,45,1663439761.970584
2030,2428,269,-42,1663439762.003614
1861,2417,432,388,1663439762.056662
2264,2530,246,26,1663439762.119998
2264,2530,246,26,1663439762.154029
2248,2502,389,291,1663439762.1880598
2248,2502,389,291,1663439762.2220907
1901,2227,381,414,1663439762.2571225
1901,2227,381,414,1663439762.2911534
1573,1957,244,96,1663439762.3251846
1573,1957,244,96,1663439762.3592155
415,1084,260,257,1663439762.3942475
415,1084,260,257,1663439762.428278
415,1084,260,257,1663439762.464311
306,689,289,303,1663439762.5003436
544,1016,252,165,1663439762.5343742
544,1016,252,165,1663439762.570407
861,1173,239,-55,1663439762.6054382
861,1173,239,-55,1663439762.6404707
606,1011,218,-36,1663439762.6765037
606,1011,218,-36,1663439762.7155387
440,846,274,-174,1663439762.7515717
344,1147,510,6,1663439762.786379
351,1063,473,-30,1663439762.8566916
516,617,408,-119,1663439762.9206731
516,617,408,-119,1663439762.954704
295,895,381,43,1663439762.9897358
295,895,381,43,1663439763.0237665
553,998,386,-9,1663439763.0578065
553,998,386,-9,1663439763.0918286
427,1061,539,454,1663439763.1258593
427,1061,539,454,1663439763.160891
451,1124,731,532,1663439763.1959248
451,1124,731,532,1663439763.2299554
451,1124,731,532,1663439763.2639868
-535,508,796,15,1663439763.2970164
-443,-170,298,-106,1663439763.331047
-443,-170,298,-106,1663439763.3670802
-56,246,153,-280,1663439763.401111
-56,246,153,-280,1663439763.4371436
-440,37,69,-363,1663439763.4711747
-440,37,69,-363,1663439763.5062065
-695,-195,188,-278,1663439763.5403237
-695,-195,188,-278,1663439763.576357
-595,-346,303,-577,1663439763.6113882
-595,-346,303,-577,1663439763.6453056
-595,-346,303,-577,1663439763.680338
-344,-331,70,-735,1663439763.7143686
-880,-362,395,-754,1663439763.7479098
-880,-362,395,-754,1663439763.783943
-735,-565,100,-845,1663439763.8189743
-735,-565,100,-845,1663439763.8520043
-1227,-195,352,-767,1663439763.8870358
-1227,-195,352,-767,1663439763.9210672
-1088,-434,327,-909,1663439763.9550982
-514,-133,368,-666,1663439763.9881282
-746,-274,392,-729,1663439764.0556662
-268,-103,177,-735,1663439764.1196637
-268,-103,177,-735,1663439764.152694
-183,-68,31,-988,1663439764.186725
-183,-68,31,-988,1663439764.2217572
-277,-151,99,-870,1663439764.2567887
-277,-151,99,-870,1663439764.2948234
-179,-149,204,-761,1663439764.3291228
-179,-149,204,-761,1663439764.3641496
-292,156,-78,-998,1663439764.3981793
-292,156,-78,-998,1663439764.4322104
-292,156,-78,-998,1663439764.4662414
-28,72,-149,-1109,1663439764.5012727
-914,-111,240,-893,1663439764.536336
-914,-111,240,-893,1663439764.5703673
-538,18,132,-875,1663439764.6053982
-538,18,132,-875,1663439764.6404333
-564,-413,-101,-1107,1663439764.6744611
-564,-413,-101,-1107,1663439764.7074914
-655,-84,227,-828,1663439764.7423463
-655,-84,227,-828,1663439764.7763765
81,168,-122,-1046,1663439764.81141
81,168,-122,-1046,1663439764.8464413
81,168,-122,-1046,1663439764.881474
-284,-360,100,-960,1663439764.9165041
-17,468,223,-809,1663439764.9515367
-17,468,223,-809,1663439764.984566
6,456,184,-699,1663439765.026605
6,456,184,-699,1663439765.0606353
277,689,126,-793,1663439765.0966692
277,689,126,-793,1663439765.1306992
-123,383,153,-794,1663439765.1667316
-499,169,224,-807,1663439765.201764
-490,78,134,-614,1663439765.2578142
-19,657,254,-391,1663439765.3198707
-19,657,254,-391,1663439765.3539019
-40,423,141,-306,1663439765.3889337
-40,423,141,-306,1663439765.4249663
-64,568,284,-53,1663439765.4620094
-64,568,284,-53,1663439765.4970322
294,767,353,65,1663439765.5320635
294,767,353,65,1663439765.5670958
319,755,397,144,1663439765.6021278
319,755,397,144,1663439765.6391616
319,755,397,144,1663439765.6731923
348,1077,754,442,1663439765.7092247
627,1201,375,9,1663439765.744257
627,1201,375,9,1663439765.779289
578,1118,493,-45,1663439765.81332
578,1118,493,-45,1663439765.8473508
422,730,405,-50,1663439765.8833828
422,730,405,-50,1663439765.918415
840,1137,314,12,1663439765.9534469
264,1039,546,104,1663439765.987478
529,1075,500,230,1663439766.0556657
318,792,452,169,1663439766.119666
318,792,452,169,1663439766.1537077
246,1082,348,147,1663439766.1867268
246,1082,348,147,1663439766.220758
429,924,326,86,1663439766.2547886
429,924,326,86,1663439766.2908213
117,746,534,250,1663439766.3248525
117,746,534,250,1663439766.3578827
346,970,530,288,1663439766.3929143
346,970,530,288,1663439766.426945
346,970,530,288,1663439766.460976
365,929,534,333,1663439766.4960082
283,843,411,131,1663439766.5300388
283,843,411,131,1663439766.5640736
287,803,286,123,1663439766.599102
287,803,286,123,1663439766.6341333
115,610,170,-26,1663439766.6681645
115,610,170,-26,1663439766.7021987
213,953,290,74,1663439766.7362325
213,953,290,74,1663439766.7722623
343,864,203,39,1663439766.8072941
343,864,203,39,1663439766.8433278
343,864,203,39,1663439766.877359
449,910,224,26,1663439766.91239
426,862,166,-51,1663439766.9484224
426,862,166,-51,1663439766.9914615
484,899,145,-38,1663439767.0294964
484,899,145,-38,1663439767.062527
115,941,197,20,1663439767.0945554
