Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
2158,2065,979,1033,1663441204.690301
2121,1997,956,1028,1663441204.7313387
2104,2150,1059,1168,1663441204.7703738
2391,2177,980,1100,1663441204.807408
2333,2183,973,1109,1663441204.8454425
2333,2183,973,1109,1663441204.8804746
2323,2134,995,1127,1663441204.9165072
2324,2150,1018,1178,1663441204.95254
2342,2167,844,1081,1663441204.9865706
2342,2167,844,1081,1663441205.0236044
1941,2129,1006,980,1663441205.058637
2359,2179,1032,1152,1663441205.093668
2281,2120,1028,1172,1663441205.1297014
2274,2158,1028,1166,1663441205.1647334
2245,2150,1004,1134,1663441205.2017665
2245,2150,1004,1134,1663441205.2357974
2103,2084,855,1039,1663441205.27183
2178,2075,835,1087,1663441205.308864
2095,2056,1045,1176,1663441205.342895
2414,2082,1045,1105,1663441205.3776743
2414,2082,1045,1105,1663441205.4147081
2405,2078,1058,1093,1663441205.450741
2145,2071,1028,1188,1663441205.4857728
2129,2201,1111,1189,1663441205.518803
2129,2201,1111,1189,1663441205.5538344
2113,2200,945,978,1663441205.5878665
2113,2200,945,978,1663441205.620897
1979,2039,1083,1179,1663441205.6546903
2314,2124,1002,876,1663441205.688716
2279,2180,996,1106,1663441205.7237475
2279,2180,996,1106,1663441205.7587829
772,1247,895,664,1663441205.793811
736,1375,953,870,1663441205.8368504
701,1230,905,658,1663441205.8846793
898,1312,930,844,1663441205.9197032
482,1298,950,710,1663441205.964664
724,1286,853,688,1663441205.9996955
724,1286,853,688,1663441206.0347273
652,1235,879,719,1663441206.0707607
560,1207,913,724,1663441206.1057928
652,1219,938,757,1663441206.139823
1046,1602,1004,1062,1663441206.173854
1046,1602,1004,1062,1663441206.2078846
1702,1850,1103,1032,1663441206.2429168
1946,1975,1252,1295,1663441206.2777128
1903,1963,1246,1351,1663441206.3127458
1855,2116,1309,1245,1663441206.3487782
1840,2009,1348,1304,1663441206.3828092
1840,2009,1348,1304,1663441206.417841
1956,2040,1353,1318,1663441206.451872
1631,2063,1528,1471,1663441206.485903
1950,2162,1412,1373,1663441206.5209346
1950,2162,1412,1373,1663441206.5552225
1659,1952,1394,1339,1663441206.5912478
1588,1928,1399,1395,1663441206.6262794
1601,1911,1359,1175,1663441206.659539
1601,1911,1359,1175,1663441206.6935802
1686,2044,1450,1477,1663441206.7306037
1823,2019,1355,1338,1663441206.765552
1730,1940,1274,1243,1663441206.8015845
1798,2035,1415,1208,1663441206.8366163
1811,2107,1258,1169,1663441206.8715632
1811,2107,1258,1169,1663441206.9065955
1861,2091,1251,1222,1663441206.9406266
1762,2087,1234,1228,1663441206.9745736
1795,2038,1307,1237,1663441207.0106063
1795,2038,1307,1237,1663441207.0446367
1641,1993,1289,1218,1663441207.0794978
1606,2004,1292,1271,1663441207.1155303
1647,2048,1240,1196,1663441207.152564
666,1544,1235,1143,1663441207.1895974
611,1448,1205,1004,1663441207.2256303
611,1448,1205,1004,1663441207.261663
518,1401,1183,1011,1663441207.2966948
499,1389,1163,943,1663441207.3317266
299,1314,1175,990,1663441207.3667583
606,1481,1215,1097,1663441207.4007893
606,1481,1215,1097,1663441207.435821
439,1316,1149,1036,1663441207.4716036
757,1193,914,721,1663441207.5486639
757,1193,914,721,1663441207.5846968
382,1262,1157,832,1663441207.6247327
697,1249,951,725,1663441207.664612
586,1234,1079,790,1663441207.6976416
586,1234,1079,790,1663441207.7326736
570,1211,883,670,1663441207.7665157
507,1160,911,854,1663441207.802549
507,1201,909,844,1663441207.837588
507,1201,909,844,1663441207.8716135
494,1212,867,866,1663441207.9076462
455,1177,1061,919,1663441207.943679
361,1137,896,888,1663441207.97771
719,1183,858,825,1663441208.0127418
703,1208,884,753,1663441208.048774
703,1208,884,753,1663441208.0826526
658,1173,850,738,1663441208.1166837
422,1281,1126,935,1663441208.1507146
260,1065,927,717,1663441208.1857471
373,948,739,159,1663441208.2207785
