Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
-9,700,1183,944,1663439855.0414476
12,735,898,702,1663439855.081484
12,735,898,702,1663439855.1175208
364,768,909,755,1663439855.15355
-113,681,866,731,1663439855.1885812
242,607,804,533,1663439855.2596457
242,607,804,533,1663439855.294678
481,621,870,707,1663439855.330711
529,602,833,834,1663439855.387762
529,602,833,834,1663439855.4227939
484,969,770,702,1663439855.4598284
484,969,770,702,1663439855.4968662
854,995,667,520,1663439855.531893
854,995,667,520,1663439855.5679262
1172,1099,748,592,1663439855.6019568
1172,1099,748,592,1663439855.6389906
984,1184,1466,1375,1663439863.100677
776,1198,1617,1522,1663439863.1407125
