Smoothed_Point_X,Smoothed_Point_Y,Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
877,717,922,837,767,883,1670281827.5318198
867,746,922,837,767,883,1670281827.5648496
857,775,922,837,767,883,1670281827.5968788
867,779,955,896,775,871,1670281827.627907
871,766,893,918,643,667,1670281827.6689506
874,753,893,918,643,667,1670281827.6999726
876,742,868,911,645,703,1670281827.7280123
883,734,868,911,645,703,1670281827.7590253
897,723,943,987,580,699,1670281827.7960632
908,723,943,987,580,699,1670281827.8240852
919,700,1025,949,481,699,1670281827.859117
929,676,1025,949,481,699,1670281827.8921466
940,653,1025,949,481,699,1670281827.9251764
945,643,994,945,691,766,1670281827.9647183
942,653,917,849,700,798,1670281827.9987493
940,662,917,849,700,798,1670281828.024773
939,669,917,849,700,798,1670281828.059807
939,669,893,872,634,699,1670281828.091836
931,671,893,872,634,699,1670281828.1208625
929,676,821,1084,561,801,1670281828.1588964
926,680,814,1102,510,750,1670281828.188924
923,684,814,1102,510,750,1670281828.2329643
911,678,807,915,485,594,1670281828.2574737
900,660,807,915,485,594,1670281828.295508
907,642,953,944,561,588,1670281828.320532
913,625,953,944,561,588,1670281828.3545613
920,607,953,944,561,588,1670281828.3905036
929,592,1004,956,475,566,1670281828.419531
939,578,1004,956,475,566,1670281828.4565713
937,592,911,949,755,887,1670281828.4865928
929,598,904,859,613,766,1670281828.5356376
922,603,904,859,613,766,1670281828.5516522
924,618,904,859,613,766,1670281828.5894349
934,645,945,986,793,818,1670281828.6214643
939,654,945,1039,515,804,1670281828.652492
943,662,945,1039,515,804,1670281828.683521
947,671,945,1039,515,804,1670281828.7235572
942,665,924,920,354,563,1670281828.758591
936,659,924,920,354,563,1670281828.7826135
939,652,982,939,667,851,1670281828.8176453
947,659,982,939,667,851,1670281828.849674
954,667,982,934,730,802,1670281828.8824413
962,675,982,934,730,802,1670281828.916472
958,665,882,972,584,824,1670281828.9475014
951,669,882,972,584,824,1670281828.982532
939,674,883,852,608,811,1670281829.0195665
927,679,883,852,608,811,1670281829.0525975
930,700,904,1006,555,783,1670281829.084627
933,721,904,1006,555,783,1670281829.1156554
933,714,924,991,675,708,1670281829.14468
933,708,924,991,675,708,1670281829.1967282
931,698,897,990,586,761,1670281829.2117422
930,689,897,990,586,761,1670281829.248776
934,694,913,1013,652,860,1670281829.2855864
937,700,913,1013,652,860,1670281829.3156054
969,683,1147,1226,494,590,1670281829.3456333
1001,666,1147,1226,494,590,1670281829.3828516
1063,600,1705,1444,128,-104,1670281829.4158826
1125,534,1705,1444,128,-104,1670281829.4409046
1187,482,1668,1500,153,191,1670281829.4799392
1250,431,1668,1500,153,191,1670281829.5149715
1316,362,1688,1525,118,-147,1670281829.5450103
1382,293,1688,1525,118,-147,1670281829.577028
1449,223,1714,1549,211,-100,1670281829.6070557
1516,153,1714,1549,211,-100,1670281829.6480925
1565,146,1788,1561,584,365,1670281829.6751173
1614,139,1788,1561,584,365,1670281829.706145
1616,173,1583,1613,494,202,1670281829.739176
1618,207,1583,1613,494,202,1670281829.7862182
1618,218,1641,1521,367,205,1670281829.8102398
1618,229,1641,1521,367,205,1670281829.8442712
1627,262,1800,1592,409,223,1670281829.8762999
1636,295,1800,1592,409,223,1670281829.911332
1632,306,1658,1529,299,20,1670281829.940358
1628,316,1658,1529,299,20,1670281829.9723868
1622,276,1670,1545,188,-51,1670281830.0064182
1615,235,1670,1545,188,-51,1670281830.0384467
1619,200,1748,1537,156,-168,1670281830.0744796
