Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1402,1341,442,407,1674169729.6569645
1372,1348,561,449,1674169729.68499
1330,1276,400,271,1674169729.7180195
1336,1304,450,339,1674169729.747781
1341,1395,406,341,1674169729.7807832
1353,1389,423,335,1674169729.8098102
1386,1289,401,330,1674169729.8438418
1382,1319,388,334,1674169729.8758698
1387,1281,472,257,1674169729.9057806
1314,1363,261,291,1674169729.935808
1368,1413,381,393,1674169729.96678
1297,1265,360,308,1674169729.9948053
1334,1235,620,346,1674169730.0287817
1385,1410,489,547,1674169730.0558052
1354,1236,419,219,1674169730.0927854
1370,1287,459,230,1674169730.1348228
1351,1357,296,298,1674169730.168781
1370,1390,319,283,1674169730.1988084
1374,1345,476,308,1674169730.23078
1376,1382,508,332,1674169730.2598062
1361,1347,367,427,1674169730.292862
1375,1481,378,439,1674169730.3228896
1346,1327,608,343,1674169730.3549166
1376,1369,459,303,1674169730.3851283
1335,1334,288,376,1674169730.4171574
1380,1327,522,245,1674169730.4471881
1374,1405,594,149,1674169730.4792178
1370,1411,448,371,1674169730.509245
1345,1232,576,399,1674169730.541274
1373,1360,433,377,1674169730.5723023
1305,1324,374,175,1674169730.602331
1366,1296,543,282,1674169730.633359
1347,1347,341,389,1674169730.666389
1352,1301,478,258,1674169730.6957793
1354,1356,535,375,1674169730.7278101
1346,1329,509,337,1674169730.757836
1341,1299,595,428,1674169730.788864
1390,1314,392,380,1674169730.8187773
1335,1319,652,450,1674169730.8618171
1419,1337,639,482,1674169730.8958483
1395,1326,378,263,1674169730.9258747
1367,1301,560,333,1674169730.9549017
1345,1245,641,320,1674169730.991935
1375,1273,649,506,1674169731.022781
1379,1289,689,410,1674169731.0557802
1384,1302,427,279,1674169731.0847795
1309,1335,393,291,1674169731.1178098
1331,1306,534,373,1674169731.1468358
1336,1343,411,349,1674169731.180783
1358,1357,419,321,1674169731.2118113
1341,1356,413,366,1674169731.2617788
1382,1366,518,447,1674169731.2908044
1302,1322,410,309,1674169731.3258367
1357,1239,500,239,1674169731.3657792
1370,1362,565,384,1674169731.3997846
1364,1334,599,421,1674169731.4318123
1398,1383,577,427,1674169731.4627793
1389,1306,552,369,1674169731.4917786
1379,1341,510,327,1674169731.5248094
1383,1335,585,356,1674169731.5538344
1379,1372,606,418,1674169731.5847461
1379,1393,365,281,1674169731.6157746
1381,1367,370,319,1674169731.6618004
1374,1382,380,312,1674169731.6951265
1869,1858,1006,483,1674169731.7281566
1883,2026,854,515,1674169731.7581837
1966,2046,1048,609,1674169731.7922134
1926,2124,857,726,1674169731.822283
1980,2180,885,675,1674169731.8543122
1958,2177,846,637,1674169731.8853405
1922,2177,994,712,1674169731.91837
1914,2079,981,707,1674169731.9473965
1999,2221,959,781,1674169731.9824288
2002,2219,943,763,1674169732.011455
1979,2232,992,719,1674169732.0622177
1984,2190,1041,736,1674169732.090243
1912,2036,1024,633,1674169732.1276176
1961,2158,953,712,1674169732.1697915
1981,2182,819,614,1674169732.1997793
1977,2169,815,624,1674169732.2302923
1978,2127,958,712,1674169732.2617779
1971,2133,985,728,1674169732.293807
1903,2199,902,733,1674169732.3248353
1878,2059,829,695,1674169732.3598673
1898,2092,941,688,1674169732.3908956
1923,2102,1015,767,1674169732.4229245
1934,2099,929,837,1674169732.4649634
1924,2097,888,794,1674169732.496992
2010,2161,1111,742,1674169732.527019
1981,2143,1096,739,1674169732.5620513
1959,2179,1085,701,1674169732.597083
1962,2157,1109,726,1674169732.642127
1974,2180,947,749,1674169732.6721547
2011,2207,930,780,1674169732.7031822
1921,2163,1033,813,1674169732.7342107
1919,2169,1020,821,1674169732.766781
1931,2198,876,763,1674169732.796808
1929,2187,877,737,1674169732.8268352
1960,2063,1014,718,1674169732.861781
