Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1214,1473,557,593,1674169253.4437644
1296,1299,605,613,1674169253.4827838
1308,1416,608,613,1674169253.51181
1315,1354,456,488,1674169253.5457811
1336,1451,433,513,1674169253.575809
1289,1385,450,537,1674169253.610315
1301,1381,473,532,1674169253.6383398
1277,1341,377,476,1674169253.6743464
1278,1338,392,507,1674169253.7153378
1272,1337,426,501,1674169253.745365
1342,1361,410,483,1674169253.7767808
1249,1418,511,448,1674169253.8098106
1232,1282,562,441,1674169253.8407812
1231,1276,519,474,1674169253.8822389
1312,1412,505,477,1674169253.9182713
1273,1352,530,463,1674169253.9503007
1312,1370,414,437,1674169253.9813287
1273,1421,440,433,1674169254.0130541
1270,1423,442,432,1674169254.0435607
1286,1349,528,485,1674169254.076386
1313,1391,340,440,1674169254.1070156
1294,1377,402,450,1674169254.1390448
1286,1376,387,451,1674169254.16607
1288,1406,417,485,1674169254.201195
1305,1378,387,392,1674169254.2302215
1253,1409,454,361,1674169254.2820868
1264,1402,330,378,1674169254.310112
1322,1408,491,488,1674169254.3454907
1420,1423,500,434,1674169254.3865285
1307,1382,489,397,1674169254.4187784
1331,1506,527,381,1674169254.448806
1317,1405,601,514,1674169254.479435
1309,1421,559,500,1674169254.5107803
1252,1398,488,491,1674169254.5428405
1350,1404,594,537,1674169254.5744157
1312,1421,471,520,1674169254.6065626
1297,1427,419,512,1674169254.6375906
1290,1439,520,462,1674169254.682063
1276,1433,549,463,1674169254.7133033
1256,1404,521,495,1674169254.7454224
1326,1276,502,555,1674169254.7754498
1286,1359,570,579,1674169254.8102708
1273,1415,582,573,1674169254.8392982
1267,1328,545,434,1674169254.8743258
1298,1380,547,509,1674169254.9173653
1229,1345,571,416,1674169254.9473925
1310,1370,555,422,1674169254.9764187
1279,1360,541,499,1674169255.004334
1297,1548,551,492,1674169255.04278
1233,1313,568,497,1674169255.0820496
1252,1348,456,460,1674169255.1196003
1240,1309,583,427,1674169255.1517797
1262,1404,580,413,1674169255.1817796
1357,1510,553,571,1674169255.215055
1306,1335,476,523,1674169255.2450826
1299,1396,438,441,1674169255.2761092
1283,1391,441,463,1674169255.3059852
1295,1389,580,465,1674169255.339248
1304,1438,491,453,1674169255.3697805
1327,1408,522,510,1674169255.4018242
1334,1437,569,515,1674169255.4308507
1209,1356,426,496,1674169255.481652
1225,1437,541,477,1674169255.509678
1259,1357,580,527,1674169255.5457103
1278,1449,629,519,1674169255.586177
1266,1410,471,543,1674169255.6186578
1236,1330,562,535,1674169255.6487803
1302,1375,471,522,1674169255.6778061
1320,1532,473,551,1674169255.7113402
1327,1411,626,580,1674169255.7423685
1311,1418,433,384,1674169255.773397
1281,1546,564,525,1674169255.8056896
1254,1385,536,429,1674169255.8377192
1323,1541,472,570,1674169255.8817818
1297,1444,424,441,1674169255.9148111
1322,1361,519,471,1674169255.9468403
1283,1365,483,455,1674169255.9918816
1336,1396,485,499,1674169256.02391
1299,1281,511,528,1674169256.051936
1341,1538,479,499,1674169256.0839648
1342,1466,441,463,1674169256.115995
1356,1367,680,548,1674169256.1450202
1260,1341,677,542,1674169256.1776714
1327,1359,590,517,1674169256.2087
1256,1326,502,488,1674169256.2397811
1235,1253,505,484,1674169256.2821643
1244,1338,529,503,1674169256.318197
1278,1406,455,488,1674169256.349225
1271,1303,470,466,1674169256.3812535
1298,1323,664,573,1674169256.4122818
1266,1341,641,539,1674169256.4425585
1254,1366,538,496,1674169256.4755273
1234,1253,559,501,1674169256.5055575
1215,1322,427,490,1674169256.5385885
1213,1304,436,511,1674169256.5676136
1205,1256,462,439,1674169256.6016448
1246,1471,496,516,1674169256.6435363
1236,1356,481,542,1674169256.6825728
1242,1353,547,560,1674169256.7216084
1259,1381,541,518,1674169256.7516365
1258,1447,491,525,1674169256.7826633
1269,1403,535,466,1674169256.8146925
1291,1440,557,451,1674169256.8437192
1271,1394,583,423,1674169256.8767493
1278,1380,591,455,1674169256.9077775
1238,1307,379,380,1674169256.9408073
1239,1312,622,590,1674169256.971836
1228,1445,620,576,1674169257.0040846
1278,1344,410,420,1674169257.048126
1280,1343,546,537,1674169257.0821555
1306,1351,565,503,1674169257.1111834
1402,1462,471,524,1674169257.1462157
1268,1397,397,570,1674169257.1887698
1340,1467,516,527,1674169257.221187
1365,1386,300,332,1674169257.2512147
1369,1306,588,441,1674169257.2837663
1283,1394,501,561,1674169257.316605
1277,1397,486,445,1674169257.3476334
1279,1410,454,398,1674169257.3786616
1287,1412,339,418,1674169257.4126928
1287,1410,356,424,1674169257.4437215
1301,1409,439,426,1674169257.4807856
1283,1414,406,451,1674169257.5200891
1234,1343,555,514,1674169257.5537999
1323,1646,471,524,1674169257.595781
1360,1505,439,363,1674169257.6278107
1293,1456,363,454,1674169257.6598394
1313,1401,567,521,1674169257.6917803
1241,1364,557,576,1674169257.7231302
1224,1371,479,538,1674169257.7557583
1223,1384,473,539,1674169257.786786
1239,1437,387,451,1674169257.8198164
1215,1352,390,436,1674169257.862301
1235,1282,579,566,1674169257.8965933
1238,1365,595,570,1674169257.9276216
1252,1343,490,493,1674169257.9586499
1250,1345,545,506,1674169257.9896781
1244,1436,542,527,1674169258.0217075
1238,1362,550,529,1674169258.050734
1272,1414,474,477,1674169258.0807607
1252,1328,422,474,1674169258.1117895
1315,1403,434,442,1674169258.1428177
1299,1434,409,362,1674169258.1718447
1297,1384,488,478,1674169258.2057843
1284,1395,449,443,1674169258.2348156
1252,1444,640,512,1674169258.2822874
1277,1541,512,514,1674169258.3123155
1279,1370,429,533,1674169258.3462572
