Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1507,1695,401,495,1674170750.444867
1607,1792,570,610,1674170750.479899
1588,1713,518,611,1674170750.5239406
1618,1731,611,539,1674170750.5542808
1559,1739,649,601,1674170750.6147356
1558,1721,669,574,1674170750.6456141
1618,1709,504,583,1674170750.6787837
1620,1697,564,593,1674170750.7098117
1608,1732,568,579,1674170750.7425325
1593,1730,586,580,1674170750.784065
1586,1652,491,538,1674170750.8214643
1593,1675,576,547,1674170750.8504913
1615,1630,309,448,1674170750.8855236
1629,1712,427,469,1674170750.914055
1536,1717,701,492,1674170750.9504087
1596,1741,646,574,1674170750.9894538
1597,1735,501,525,1674170751.020075
1590,1729,510,551,1674170751.052134
1632,1778,440,547,1674170751.0834782
1614,1709,686,573,1674170751.1142826
1662,1712,428,531,1674170751.1457827
1601,1727,447,516,1674170751.1752892
1550,1734,395,508,1674170751.2212732
1612,1657,551,489,1674170751.2525616
1564,1747,591,572,1674170751.2867808
1565,1692,397,507,1674170751.31553
1605,1716,521,515,1674170751.3500657
1609,1716,603,505,1674170751.392782
1576,1719,548,561,1674170751.4233165
1595,1705,589,584,1674170751.4553456
1613,1739,355,503,1674170751.486778
1615,1761,331,556,1674170751.5178068
1592,1666,210,518,1674170751.5498357
1598,1674,194,503,1674170751.5788622
1624,1755,299,468,1674170751.622449
1628,1747,482,589,1674170751.6567795
1558,1718,513,568,1674170751.68981
1627,1744,399,541,1674170751.717835
1591,1761,285,567,1674170751.7517848
1696,1798,271,547,1674170751.7818112
1616,1732,414,629,1674170751.8138404
1620,1802,489,653,1674170751.8448715
1570,1680,340,576,1674170751.8783274
1638,1700,287,434,1674170751.9097655
1634,1705,637,586,1674170751.9548068
1617,1702,379,503,1674170751.9848332
1656,1691,415,521,1674170752.022717
1685,1772,458,611,1674170752.0607834
1628,1707,355,527,1674170752.088809
1622,1702,424,559,1674170752.1178102
1616,1693,465,530,1674170752.1557686
1607,1739,493,534,1674170752.1877978
1576,1703,478,586,1674170752.2186687
1610,1714,406,584,1674170752.2476957
1611,1735,168,564,1674170752.2827487
1625,1744,234,560,1674170752.312843
1601,1695,285,580,1674170752.344872
1559,1723,427,660,1674170752.3743224
1635,1764,376,573,1674170752.4223042
1562,1761,472,584,1674170752.451331
1553,1685,437,570,1674170752.4867806
1561,1731,493,568,1674170752.5161366
1605,1648,181,542,1674170752.5507836
1586,1646,389,573,1674170752.5933912
1524,1707,529,553,1674170752.6257505
1534,1738,308,522,1674170752.655776
1563,1674,437,535,1674170752.687781
1640,1729,510,530,1674170752.7170978
1422,1554,532,510,1674170752.7511287
1418,1585,595,512,1674170752.7817185
922,455,870,658,1674170752.8223982
912,324,688,550,1674170752.8597841
793,136,845,538,1674170752.892814
808,181,886,517,1674170752.9249368
808,179,982,627,1674170752.9699771
738,146,997,667,1674170753.001006
625,157,1106,668,1674170753.0320342
658,150,1050,635,1674170753.0625658
749,155,939,599,1674170753.0961049
730,235,1031,608,1674170753.127135
683,150,1015,583,1674170753.1587813
586,103,1061,628,1674170753.1888084
652,110,983,637,1674170753.2214487
587,125,837,608,1674170753.2484732
683,148,1019,726,1674170753.285595
682,162,949,600,1674170753.3145044
686,191,888,651,1674170753.3505378
605,84,982,669,1674170753.3916354
602,68,1087,644,1674170753.424665
780,107,959,624,1674170753.4547803
776,244,1079,660,1674170753.4828057
675,228,1102,685,1674170753.5178378
719,254,969,640,1674170753.5498664
628,203,1029,646,1674170753.5808947
682,116,943,628,1674170753.6214008
730,129,1165,617,1674170753.6557665
684,124,1043,629,1674170753.6897807
618,119,1005,599,1674170753.7198083
630,220,784,628,1674170753.7528384
659,160,876,637,1674170753.7827795
672,218,871,629,1674170753.814613
648,159,920,584,1674170753.8426385
658,163,840,671,1674170753.8786697
715,163,836,693,1674170753.9076958
652,159,998,616,1674170753.9427276
507,175,875,647,1674170753.9857666
575,99,953,648,1674170754.0228555
629,170,945,602,1674170754.0617788
676,189,1103,659,1674170754.091779
719,153,1034,625,1674170754.1249003
647,175,1134,668,1674170754.1549277
569,112,716,613,1674170754.185485
607,128,779,599,1674170754.2157733
657,208,880,614,1674170754.2463226
694,105,1088,687,1674170754.2783551
623,87,1156,689,1674170754.3073814
620,131,1028,652,1674170754.3444154
614,106,1224,687,1674170754.3754435
665,159,1045,634,1674170754.425489
576,116,1035,630,1674170754.4575183
619,162,978,657,1674170754.4915493
619,152,774,647,1674170754.5215764
565,34,1293,875,1674170754.5536058
544,-24,1171,768,1674170754.5826318
544,120,1146,831,1674170754.6316772
609,94,1288,962,1674170754.6637096
742,150,1103,842,1674170754.7047474
687,128,1146,854,1674170754.7347748
585,110,1144,832,1674170754.766781
628,75,1176,934,1674170754.797312
685,177,1263,987,1674170754.8278515
620,193,1289,1034,1674170754.86078
648,190,1066,899,1674170754.8929515
587,153,1315,932,1674170754.92398
664,176,1200,912,1674170754.9560091
614,58,1228,904,1674170754.9870384
626,102,1432,919,1674170755.0200667
608,101,1383,924,1674170755.0510948
678,98,1540,837,1674170755.0826278
724,281,1110,788,1674170755.1106536
680,233,1207,892,1674170755.1486874
791,320,1431,941,1674170755.178716
611,225,1319,871,1674170755.2227554
682,156,1433,834,1674170755.2557852
703,123,1258,839,1674170755.2867806
762,196,1344,879,1674170755.3158062
576,84,1167,881,1674170755.3510485
555,100,1405,923,1674170755.3951144
571,135,1377,1073,1674170755.427235
614,221,1250,924,1674170755.4552605
664,255,1027,840,1674170755.488782
723,228,1304,881,1674170755.5208106
666,268,1058,807,1674170755.5528402
643,109,1341,870,1674170755.5817792
758,242,1219,921,1674170755.622289
786,251,1382,923,1674170755.6601293
700,205,1076,907,1674170755.6927109
749,222,1345,950,1674170755.723739
769,284,1175,974,1674170755.7567685
703,234,1277,977,1674170755.7853312
717,198,1459,1036,1674170755.8193624
693,215,1307,1015,1674170755.862466
609,232,1269,1001,1674170755.8964975
599,174,1318,968,1674170755.9375405
781,273,1209,955,1674170755.9755735
676,214,1310,955,1674170756.0176122
761,244,1238,871,1674170756.0506423
777,260,1261,833,1674170756.080672
761,255,1150,846,1674170756.1127052
808,262,1381,965,1674170756.143733
775,215,1174,899,1674170756.1785855
765,115,1146,826,1674170756.2237813
722,165,1237,891,1674170756.2548103
706,144,1185,878,1674170756.298811
813,346,1318,953,1674170756.3308403
797,207,1337,937,1674170756.3588655
754,299,1039,785,1674170756.3961813
741,239,1136,915,1674170756.4408958
858,247,1308,946,1674170756.4729245
795,235,1165,929,1674170756.502952
782,218,1327,920,1674170756.534981
745,228,1124,939,1674170756.5647798
794,172,1210,889,1674170756.5977292
849,252,1121,896,1674170756.6277664
652,157,1385,975,1674170756.6581514
780,278,1312,966,1674170756.691781
865,245,1244,907,1674170756.7238097
761,219,1084,887,1674170756.7538383
722,260,1470,957,1674170756.7857823
704,262,1412,992,1674170756.8158119
867,344,1103,877,1674170756.8448384
908,307,1022,794,1674170756.8783853
798,272,1173,847,1674170756.9094136
800,223,1490,886,1674170756.943445
795,338,1148,817,1674170756.9754739
747,337,1367,837,1674170757.0065014
924,619,475,509,1674170757.0415342
876,492,379,398,1674170757.0715635
1014,646,487,578,1674170757.116605
1001,616,531,483,1674170757.1446295
1007,611,376,543,1674170757.1777813
995,599,468,611,1674170757.2093923
982,536,753,568,1674170757.2394197
1046,665,796,617,1674170757.2704482
1068,658,691,646,1674170757.3014762
1080,663,669,684,1674170757.3325043
1076,596,793,627,1674170757.3635325
1034,595,565,513,1674170757.3937237
1095,629,526,506,1674170757.4267817
1035,609,561,506,1674170757.4578106
970,601,667,515,1674170757.5037575
990,706,500,576,1674170757.532784
1081,777,662,713,1674170757.5638118
960,573,754,695,1674170757.5944524
908,516,441,568,1674170757.6229916
1051,610,695,597,1674170757.6577816
1064,708,528,572,1674170757.6918125
986,617,540,559,1674170757.733851
1057,651,559,633,1674170757.7648787
984,628,518,545,1674170757.7933156
994,569,767,551,1674170757.8257816
1085,612,782,639,1674170757.8557818
1018,616,443,502,1674170757.8878105
971,607,475,641,1674170757.918838
1006,633,588,587,1674170757.950868
1042,625,811,577,1674170757.9818954
1029,572,530,579,1674170758.0239415
1044,662,548,607,1674170758.0539694
917,536,587,575,1674170758.0920029
962,548,594,655,1674170758.1210294
1049,649,753,544,1674170758.15406
1041,643,710,504,1674170758.1840878
1026,678,817,684,1674170758.215147
1030,680,753,677,1674170758.245604
989,567,548,583,1674170758.2807827
974,540,797,603,1674170758.3225284
980,631,524,570,1674170758.352558
979,564,552,566,1674170758.3825853
1024,669,627,587,1674170758.423628
1038,587,696,623,1674170758.4607801
1043,627,587,603,1674170758.4928088
1022,614,640,573,1674170758.5241554
1028,604,646,575,1674170758.5561848
999,600,607,577,1674170758.5877807
957,603,694,661,1674170758.6185236
1020,615,705,617,1674170758.6487806
1000,631,608,637,1674170758.6818101
1061,654,575,622,1674170758.7128386
908,598,631,610,1674170758.7468698
952,602,622,495,1674170758.7762158
968,584,696,634,1674170758.8227804
927,542,923,637,1674170758.8547797
