Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
2108,2228,516,469,1674170133.262811
2034,2210,591,603,1674170133.299844
1975,2128,658,618,1674170133.3368778
1981,2157,578,636,1674170133.3757792
2013,2164,554,612,1674170133.4157765
1979,2096,435,483,1674170133.4807913
2073,2124,682,518,1674170133.521828
2053,2138,540,484,1674170133.5518596
2071,2138,526,476,1674170133.5817788
2092,2137,610,492,1674170133.6118054
2071,2115,570,504,1674170133.6436486
2113,2175,532,492,1674170133.6758528
2061,2164,604,526,1674170133.7056692
2064,2217,587,532,1674170133.7367795
2152,2228,649,487,1674170133.76997
2093,2145,494,510,1674170133.7979956
2085,2213,471,461,1674170133.8315191
2090,2219,606,486,1674170133.881779
2165,2163,702,543,1674170133.910806
2065,2161,518,471,1674170133.944864
2122,2156,492,480,1674170133.9866874
1987,2223,535,456,1674170134.0177147
2096,2142,587,457,1674170134.0487795
2044,2235,650,498,1674170134.0798085
2103,2172,610,459,1674170134.1108365
2113,2169,613,454,1674170134.1411123
2012,2265,377,558,1674170134.173141
2067,2296,341,462,1674170134.2017787
1948,2152,496,551,1674170134.235408
2004,2238,573,435,1674170134.2805276
2096,2161,508,419,1674170134.31556
1963,2156,421,439,1674170134.3475914
2142,2222,468,449,1674170134.389715
2149,2136,451,442,1674170134.421783
2145,2121,507,471,1674170134.4524844
2209,2156,323,397,1674170134.4855144
2074,2180,379,512,1674170134.5165427
2052,2144,334,511,1674170134.5485716
2118,2129,471,533,1674170134.5795996
2137,2255,508,530,1674170134.6086257
2111,2196,474,470,1674170134.6397796
2119,2135,411,372,1674170134.6806746
2074,2153,411,472,1674170134.7207825
2051,2211,464,481,1674170134.7518103
2056,2246,527,519,1674170134.7838395
2049,2158,404,487,1674170134.8168697
2106,2250,346,502,1674170134.845897
2021,2130,272,535,1674170134.8777497
1967,2107,285,540,1674170134.9097786
2010,2123,381,544,1674170134.9408095
1979,2156,492,581,1674170134.9718413
1983,2193,539,543,1674170135.0037806
2066,2144,499,434,1674170135.03581
2063,2196,447,446,1674170135.0807807
2113,2197,582,445,1674170135.1088061
2117,2130,543,532,1674170135.1478417
2064,2131,474,505,1674170135.189771
1990,2090,469,538,1674170135.220781
2002,2188,488,551,1674170135.2511022
2021,2140,469,541,1674170135.2841327
2026,2219,463,549,1674170135.3171625
2007,2133,438,557,1674170135.3461893
1966,2157,467,531,1674170135.3782187
2043,2207,467,470,1674170135.4072442
2068,2190,516,439,1674170135.4387295
2116,2208,537,432,1674170135.4797668
2062,2209,536,442,1674170135.5157998
2074,2169,553,513,1674170135.544826
2082,2186,476,501,1674170135.5768552
2089,2169,447,455,1674170135.6078835
2094,2197,426,430,1674170135.6379247
2094,2204,451,445,1674170135.6681697
2053,2182,303,434,1674170135.7003677
2045,2142,291,444,1674170135.7315102
2053,2100,349,421,1674170135.76354
1997,2164,367,465,1674170135.7955675
1963,2162,533,499,1674170135.8255947
2041,2181,430,525,1674170135.8813462
2014,2181,510,520,1674170135.916781
2120,2102,806,858,1674170135.950812
2040,2031,910,664,1674170135.9778364
1955,1919,981,779,1674170136.013787
1973,2037,827,732,1674170136.0557837
1953,1992,887,805,1674170136.087813
1958,2038,796,806,1674170136.1228447
1957,2040,793,809,1674170136.1637838
1949,2063,889,808,1674170136.1947806
2000,2032,892,811,1674170136.2258098
1912,2143,884,833,1674170136.256782
1859,2005,848,750,1674170136.2889645
1930,2002,824,874,1674170136.3199923
1902,2046,894,777,1674170136.3540235
1902,2048,890,777,1674170136.38305
1947,1992,906,792,1674170136.4150805
1945,1992,920,785,1674170136.4437795
1905,2132,940,832,1674170136.4777834
1855,1991,851,848,1674170136.5073135
1891,2012,972,950,1674170136.5373406
1936,2003,857,923,1674170136.5691295
1919,1988,873,945,1674170136.599781
1992,2059,790,816,1674170136.6328163
1905,2027,932,869,1674170136.6797779
1908,2010,946,868,1674170136.707804
1930,2039,871,848,1674170136.7443416
1919,2038,793,860,1674170136.786779
1874,2013,948,901,1674170136.8198085
1885,1959,807,887,1674170136.8498466
1979,2025,988,941,1674170136.8808734
2003,2105,991,932,1674170136.9139042
1987,2018,982,920,1674170136.9449327
1933,2004,784,882,1674170136.9777825
1943,2023,808,852,1674170137.00778
1912,1979,982,888,1674170137.0387788
1878,1983,826,890,1674170137.0797987
1877,1981,810,841,1674170137.117833
1878,1978,725,866,1674170137.147364
1931,1997,751,874,1674170137.1787782
1939,1970,875,840,1674170137.2127364
1919,2007,795,872,1674170137.2437687
1941,2041,767,891,1674170137.275798
1854,1977,722,953,1674170137.3078275
1860,1980,750,967,1674170137.338359
1852,2037,728,912,1674170137.3703883
1858,2055,732,847,1674170137.4024174
1894,2048,727,834,1674170137.4361863
1924,2063,908,937,1674170137.482783
1824,1930,811,849,1674170137.511809
1863,2061,840,1006,1674170137.5453594
1930,2041,889,843,1674170137.5887828
1919,2052,861,915,1674170137.6204376
1983,1957,961,893,1674170137.6504636
1966,1969,815,927,1674170137.682782
1991,2053,873,916,1674170137.7178135
1981,1985,827,901,1674170137.7585998
1942,2004,981,1006,1674170137.7916305
1986,1986,1094,914,1674170137.8227785
1957,1907,860,973,1674170137.8538072
1862,1949,831,878,1674170137.8858366
1843,1939,857,886,1674170137.9168644
1980,2061,935,864,1674170137.9468913
2000,2094,803,951,1674170137.9779196
1897,2014,821,898,1674170138.0089478
1896,2020,827,897,1674170138.0381556
1901,1999,758,908,1674170138.068922
1873,2044,753,925,1674170138.102953
1949,2007,725,810,1674170138.13298
1899,1960,818,949,1674170138.1710155
1925,1951,806,862,1674170138.203044
1916,2092,840,904,1674170138.2360735
1900,2066,893,937,1674170138.2841177
1885,2064,792,923,1674170138.3151457
1989,2085,725,876,1674170138.3501775
1959,2059,745,886,1674170138.380205
1896,2085,810,925,1674170138.4182396
1928,2093,804,944,1674170138.4542725
2040,2007,747,812,1674170138.489304
1952,2090,689,931,1674170138.5203323
1934,2012,611,793,1674170138.5603683
1886,1993,856,960,1674170138.5923972
1892,1989,869,971,1674170138.6224253
1883,2032,754,938,1674170138.6547792
1820,2054,727,882,1674170138.6838057
1863,2061,731,859,1674170138.717837
1950,2090,859,877,1674170138.749866
1885,2096,710,870,1674170138.7797794
1911,1991,823,875,1674170138.8117812
2014,2095,844,947,1674170138.8428087
1889,1963,912,904,1674170138.874781
1890,1981,773,883,1674170138.90681
1861,2063,809,911,1674170138.9398413
1848,2073,785,861,1674170138.9717805
1791,2041,775,903,1674170139.0028088
1407,1796,579,752,1674170139.034779
898,677,795,466,1674170139.0807772
1048,602,335,306,1674170139.1118054
1031,465,575,374,1674170139.1458364
882,201,463,398,1674170139.1748621
1029,303,407,347,1674170139.2088938
1025,388,444,329,1674170139.2369194
1030,426,515,291,1674170139.269692
932,273,509,366,1674170139.301721
1048,399,502,321,1674170139.331748
1025,308,395,331,1674170139.3657792
980,294,397,373,1674170139.3958068
844,195,456,371,1674170139.4288363
1024,375,530,376,1674170139.480991
911,253,531,398,1674170139.5190248
939,297,472,371,1674170139.5500531
967,312,498,333,1674170139.579779
829,183,462,374,1674170139.6138089
829,184,471,371,1674170139.6448362
859,178,496,407,1674170139.6742167
932,292,466,387,1674170139.7062457
981,292,515,355,1674170139.7382748
885,183,490,394,1674170139.7663004
887,255,541,392,1674170139.8007782
999,296,512,398,1674170139.832784
974,306,405,404,1674170139.8797853
996,342,453,370,1674170139.912815
923,279,390,389,1674170139.945846
946,364,558,374,1674170139.9747791
934,335,526,352,1674170140.0097852
941,350,565,332,1674170140.0511394
953,269,471,386,1674170140.0851805
872,214,449,314,1674170140.1157792
861,236,469,414,1674170140.1468072
869,294,572,383,1674170140.1807666
906,264,665,472,1674170140.21078
1041,341,462,322,1674170140.2436328
924,404,646,393,1674170140.2816682
904,317,560,405,1674170140.3207035
1059,508,548,339,1674170140.3527322
995,354,395,404,1674170140.3817582
1013,342,415,335,1674170140.415789
995,388,439,381,1674170140.4498198
916,322,570,342,1674170140.4938607
936,437,599,350,1674170140.522887
921,418,579,333,1674170140.5539148
1111,537,414,323,1674170140.586782
1002,342,594,380,1674170140.6177797
1078,463,429,344,1674170140.6497824
912,349,688,397,1674170140.681811
946,423,732,321,1674170140.712839
931,421,479,370,1674170140.7458694
1032,486,475,309,1674170140.7877753
990,452,682,424,1674170140.8197808
945,419,458,333,1674170140.8507805
927,476,623,359,1674170140.8837829
914,491,706,366,1674170140.915812
938,389,707,398,1674170140.9448383
1069,453,645,281,1674170140.9763703
963,451,744,370,1674170141.006778
922,599,620,331,1674170141.0398405
993,488,577,359,1674170141.0817788
1040,631,511,217,1674170141.1178112
988,504,847,405,1674170141.1478388
1114,556,556,333,1674170141.1798675
945,443,853,425,1674170141.2138984
997,583,584,364,1674170141.2429252
883,356,666,447,1674170141.2745383
998,590,794,406,1674170141.3055654
910,369,552,451,1674170141.3375955
990,492,726,403,1674170141.3686237
1007,454,646,370,1674170141.3976502
1109,433,674,383,1674170141.4312198
920,454,666,314,1674170141.481269
1000,493,667,364,1674170141.525665
972,411,565,405,1674170141.5566938
970,595,716,369,1674170141.587722
1091,387,663,384,1674170141.6187809
1060,468,675,292,1674170141.6497803
951,186,936,394,1674170141.6828952
804,145,989,489,1674170141.7159252
821,284,871,475,1674170141.758969
825,123,1068,760,1674170141.791103
762,-63,1017,813,1674170141.8231325
705,32,1152,848,1674170141.8547788
660,145,960,722,1674170141.886808
767,101,1042,817,1674170141.9168348
722,30,1104,795,1674170141.9478629
736,123,1083,830,1674170141.9778905
699,91,1287,876,1674170142.010306
741,52,1110,717,1674170142.0394945
730,127,1100,843,1674170142.0682821
750,143,1059,729,1674170142.104315
676,131,1116,844,1674170142.1323407
843,203,1232,835,1674170142.1643682
791,144,1228,876,1674170142.1933942
696,96,1135,830,1674170142.2264247
770,167,1250,815,1674170142.2817893
699,132,1231,805,1674170142.3218255
1071,928,1019,982,1674170142.353855
1156,1004,990,947,1674170142.3847804
1157,1162,925,922,1674170142.4188118
1209,1167,1243,934,1674170142.449839
1101,1130,1103,1006,1674170142.48287
1162,1183,1245,1034,1674170142.5148988
1149,1196,1248,1071,1674170142.5449262
1156,1158,1083,1008,1674170142.577783
1223,1195,1065,1006,1674170142.607779
1139,1144,1032,922,1674170142.6387794
1194,1114,1078,966,1674170142.6815903
1204,1193,1099,1028,1674170142.7166228
1145,1098,1011,1023,1674170142.7496526
1127,1100,958,940,1674170142.7776778
1177,1135,983,966,1674170142.811783
1186,1115,1000,986,1674170142.840809
1166,1060,908,945,1674170142.86867
1227,1156,934,954,1674170142.9027786
1199,1142,990,956,1674170142.930804
1202,1137,1016,902,1674170142.963834
1192,1112,1009,917,1674170142.9957814
1159,1149,1120,951,1674170143.0278103
1166,1097,1031,857,1674170143.0807989
1172,1093,1056,914,1674170143.1228373
1118,1085,931,845,1674170143.1538663
1136,1149,990,938,1674170143.181891
1210,1140,1013,876,1674170143.2166831
1160,1205,1099,907,1674170143.2467108
1068,1222,1204,1013,1674170143.280742
1051,1123,946,948,1674170143.3127708
1135,1229,1006,910,1674170143.3417974
1182,1128,993,984,1674170143.3708231
1193,1097,977,905,1674170143.4026778
1204,1231,1026,962,1674170143.4347072
1182,1201,909,910,1674170143.4817498
1182,1213,1051,914,1674170143.5267909
1119,1136,1076,975,1674170143.5548165
1120,1147,909,966,1674170143.5876737
1148,1159,824,873,1674170143.6207037
1164,1162,870,961,1674170143.6507323
1170,1215,971,843,1674170143.683647
1114,1216,1081,877,1674170143.7136738
1132,1240,975,968,1674170143.7437012
1160,1130,1103,963,1674170143.7757816
1105,1098,896,953,1674170143.8078098
1170,1113,884,881,1674170143.8378372
1170,1174,1093,964,1674170143.880251
1099,1093,792,915,1674170143.916284
1128,1157,1002,885,1674170143.9483137
1125,1076,1045,960,1674170143.9787788
1110,1244,904,966,1674170144.011782
1104,1174,956,1008,1674170144.0398715
1175,1224,1171,936,1674170144.0740976
1193,1250,1006,933,1674170144.105126
