Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1669,1673,720,553,1674170528.0794818
1651,1736,532,499,1674170528.1105096
1691,1824,387,437,1674170528.1405373
1700,1779,552,495,1674170528.1697783
1614,1742,589,482,1674170528.1997795
1677,1838,399,383,1674170528.2317796
1648,1736,553,370,1674170528.263809
1678,1841,494,475,1674170528.2954412
1734,1867,493,442,1674170528.3276696
1720,1755,423,435,1674170528.3557765
1736,1792,499,471,1674170528.388811
1689,1711,501,383,1674170528.4198387
1681,1705,498,382,1674170528.4538739
1656,1752,475,406,1674170528.4839022
1673,1750,447,457,1674170528.5269406
1703,1735,421,430,1674170528.561785
1634,1672,362,414,1674170528.5938144
1697,1785,378,373,1674170528.623842
1638,1752,402,450,1674170528.6557808
1691,1709,385,396,1674170528.6869853
1685,1768,438,464,1674170528.7140114
1689,1746,504,463,1674170528.749127
1689,1741,334,360,1674170528.780778
1670,1724,470,460,1674170528.813782
1631,1785,466,469,1674170528.8468142
1724,1770,344,413,1674170528.8778422
1720,1755,487,423,1674170528.9269328
1721,1850,348,409,1674170528.9689713
1669,1760,501,382,1674170529.00178
1656,1737,466,397,1674170529.0318074
1693,1702,448,329,1674170529.0667841
1667,1745,437,421,1674170529.0967817
1711,1667,384,299,1674170529.1278098
1662,1735,377,376,1674170529.1567793
1669,1751,384,355,1674170529.1887794
1744,1682,285,406,1674170529.220035
1684,1737,349,400,1674170529.2523255
1707,1718,326,351,1674170529.2839217
1665,1764,532,446,1674170529.3259604
1676,1782,472,422,1674170529.362784
1677,1717,384,400,1674170529.393812
1634,1674,455,374,1674170529.4248407
1673,1778,361,430,1674170529.4557815
1693,1777,385,398,1674170529.4839573
1652,1754,360,412,1674170529.5129838
1650,1712,317,288,1674170529.5460143
1659,1755,341,360,1674170529.5760453
1635,1714,331,373,1674170529.6117835
1645,1690,357,412,1674170529.6427813
1708,1677,404,403,1674170529.6744442
1672,1665,367,406,1674170529.7254903
1687,1660,373,394,1674170529.7647798
1680,1673,540,415,1674170529.797438
1696,1757,510,435,1674170529.8274653
1660,1730,302,414,1674170529.8614967
1631,1725,333,402,1674170529.8972104
1715,1790,398,382,1674170529.9462545
1716,1777,460,413,1674170529.9812863
1691,1706,409,379,1674170530.0143166
1706,1721,431,416,1674170530.0503492
1676,1684,413,433,1674170530.0853813
1700,1723,553,388,1674170530.1214142
1657,1750,438,438,1674170530.154444
1646,1757,431,411,1674170530.186473
1651,1795,318,373,1674170530.2185023
1667,1736,394,372,1674170530.2530382
1649,1694,454,380,1674170530.2873244
1654,1669,480,463,1674170530.3293626
1645,1695,378,350,1674170530.3812995
1640,1670,551,384,1674170530.417653
1670,1754,449,352,1674170530.462253
1691,1771,485,409,1674170530.5264502
1662,1752,551,414,1674170530.5594962
1706,1717,313,294,1674170530.5925655
1647,1724,365,401,1674170530.6215916
1669,1696,507,393,1674170530.6546211
1679,1702,507,392,1674170530.683371
1085,1083,395,239,1674170530.7142837
1197,1110,260,284,1674170530.7477837
1202,1111,265,325,1674170530.776562
962,315,635,351,1674170530.811784
1069,139,575,407,1674170530.8418114
947,102,599,419,1674170530.8743715
913,269,617,323,1674170530.9264197
964,370,728,406,1674170530.9684577
911,116,695,456,1674170530.9997807
916,181,701,447,1674170531.0288079
882,391,836,431,1674170531.0617797
900,274,689,293,1674170531.0915654
873,236,655,442,1674170531.123597
879,209,726,448,1674170531.155625
937,243,813,487,1674170531.186654
954,272,731,418,1674170531.216681
923,185,704,421,1674170531.2487805
972,367,804,392,1674170531.2827837
892,344,702,389,1674170531.3258233
893,300,678,282,1674170531.3604052
951,291,746,315,1674170531.3917778
955,316,798,435,1674170531.4218051
949,305,834,433,1674170531.452998
940,323,833,405,1674170531.4829903
906,326,833,406,1674170531.5140183
908,304,841,418,1674170531.5461886
913,309,868,412,1674170531.5759785
857,325,759,390,1674170531.6097682
903,281,790,382,1674170531.6387947
791,238,677,339,1674170531.6698227
873,369,692,348,1674170531.726378
912,353,689,358,1674170531.7629225
915,322,690,348,1674170531.7929494
981,404,763,366,1674170531.8229775
931,311,696,297,1674170531.8557334
886,306,684,347,1674170531.887762
1024,304,844,345,1674170531.9157882
1044,318,842,364,1674170531.9438155
1030,313,813,358,1674170531.9778469
904,283,704,318,1674170532.011877
804,273,719,397,1674170532.0409043
866,255,689,296,1674170532.0707786
911,371,693,410,1674170532.1268299
942,376,846,390,1674170532.1660786
802,189,788,351,1674170532.1961052
790,154,753,389,1674170532.2271333
917,278,844,403,1674170532.2581615
821,214,780,348,1674170532.2882555
948,315,785,378,1674170532.3212874
889,275,747,389,1674170532.3503137
935,286,779,393,1674170532.3813417
920,313,714,371,1674170532.4143722
943,312,795,373,1674170532.4454
923,348,761,400,1674170532.4767413
905,301,757,388,1674170532.5257897
897,336,738,416,1674170532.5687814
994,357,959,337,1674170532.6002264
956,272,936,410,1674170532.6312544
1052,366,843,456,1674170532.6622825
1078,353,866,483,1674170532.6921515
1063,515,766,445,1674170532.7261806
1047,458,858,506,1674170532.7567797
1115,532,746,452,1674170532.7873592
972,486,899,509,1674170532.8207793
1008,535,873,470,1674170532.8507788
1049,500,699,385,1674170532.8818216
1181,593,957,753,1674170532.926863
1050,597,1133,882,1674170532.9638965
1104,784,931,876,1674170532.9959254
1224,691,928,937,1674170533.025953
1274,808,1157,1031,1674170533.0579817
1172,767,1013,1150,1674170533.0867794
1043,809,933,1099,1674170533.119809
1155,812,956,1197,1674170533.150841
1153,825,956,1186,1674170533.1757748
1161,818,1060,1131,1674170533.2130234
1166,806,1199,1144,1674170533.24305
1094,852,1121,1142,1674170533.2751453
1159,790,1090,1094,1674170533.3261943
1141,850,1132,1074,1674170533.3532183
1119,850,1099,1183,1674170533.3912532
1148,895,1067,1134,1674170533.4312887
1167,842,1145,1204,1674170533.4633188
1159,839,1113,1176,1674170533.4928536
1183,836,1035,1068,1674170533.5257244
1134,849,1128,1170,1674170533.5557535
1166,871,1062,1151,1674170533.5862145
1216,879,1164,1211,1674170533.619783
1152,871,1070,1133,1674170533.65078
1197,996,1084,1037,1674170533.682127
1124,854,951,1093,1674170533.7261672
1191,921,1114,1192,1674170533.760198
1168,889,1121,1225,1674170533.7927818
1150,868,1144,1262,1674170533.8220654
1158,861,1160,1214,1674170533.8551695
1177,933,1115,1185,1674170533.885458
1188,862,1179,1182,1674170533.9194882
1146,849,1016,1138,1674170533.9485147
1141,828,1034,1137,1674170533.97654
1140,836,1069,1058,1674170534.01397
1143,855,1082,1164,1674170534.043505
1111,795,1069,1154,1674170534.0725312
1098,823,1152,1111,1674170534.1265802
1115,825,1193,1124,1674170534.16561
1130,887,1265,1044,1674170534.1976392
1162,751,1048,1062,1674170534.2273002
1223,802,977,993,1674170534.2574496
1179,820,1026,1147,1674170534.2887812
1205,818,1185,1182,1674170534.3218112
1204,818,1176,1202,1674170534.3538396
1200,806,1168,1182,1674170534.3828657
1125,827,1046,1191,1674170534.4154103
1119,840,1049,1150,1674170534.4457808
1202,877,1112,1176,1674170534.4760742
1206,838,1079,1186,1674170534.525123
1205,805,1083,1194,1674170534.5561628
1164,835,1142,1191,1674170534.589784
1143,838,1156,1202,1674170534.6207805
1218,878,1160,1320,1674170534.6544862
1167,856,1127,1124,1674170534.6825113
1189,798,956,1100,1674170534.7145412
1165,779,894,1050,1674170534.7465706
1182,801,910,1148,1674170534.7757773
1190,870,1017,1192,1674170534.811018
1233,895,1035,1162,1674170534.841781
1225,803,1081,1161,1674170534.8727798
1202,804,1123,1064,1674170534.9263325
1178,817,1063,1190,1674170534.9693713
1231,882,955,1085,1674170535.0004017
1218,829,984,1153,1674170535.0314302
1184,731,1150,1101,1674170535.0624585
1205,760,1202,1209,1674170535.0925598
1040,612,1021,970,1674170535.126591
1133,556,948,968,1674170535.1566186
1052,621,1083,1013,1674170535.1846454
1116,562,1010,844,1674170535.2207844
1049,518,1102,878,1674170535.2497792
1062,563,1153,859,1674170535.2823997
1040,536,1113,948,1674170535.325439
1096,568,1173,893,1674170535.3604753
1055,496,972,912,1674170535.3912902
1063,497,987,907,1674170535.4213173
1088,574,1021,874,1674170535.4544864
1082,536,1056,920,1674170535.4835124
1038,527,1083,992,1674170535.5145414
1053,622,1062,971,1674170535.5445685
1027,518,960,927,1674170535.5765975
1120,711,1003,936,1674170535.6082084
1143,723,963,907,1674170535.6387656
1464,1603,574,798,1674170535.6717956
2113,2052,1195,1081,1674170535.7257504
2179,2029,1261,1118,1674170535.7647808
2202,1997,1234,1095,1674170535.796007
2184,1981,1264,1085,1674170535.8260345
2143,2085,1213,1080,1674170535.8572562
2138,2015,1247,1081,1674170535.8887436
2180,2045,1211,1095,1674170535.9217737
2265,1961,1132,1105,1674170535.9528017
2207,2039,1091,1106,1674170535.9878333
2141,2055,1227,1165,1674170536.0328739
2160,2068,1336,1114,1674170536.0757673
2134,2062,1190,1027,1674170536.1076782
2156,2135,1162,1064,1674170536.1387072
2160,2142,1233,1130,1674170536.1687346
2130,2069,1306,950,1674170536.2014968
2149,2079,1274,1031,1674170536.231525
2189,2087,1063,1069,1674170536.260551
2228,2054,1010,1053,1674170536.295588
2241,2165,1161,1026,1674170536.3266163
2226,2154,1166,1027,1674170536.3586462
2250,2130,1174,1095,1674170536.387779
2220,2028,1169,1062,1674170536.4205208
2043,1983,1100,1077,1674170536.4515495
2253,2032,1245,1112,1674170536.4845793
2134,2046,1198,1109,1674170536.5256162
2125,2070,1217,1001,1674170536.5639577
2179,2140,1172,1012,1674170536.5952473
2189,2157,1222,1152,1674170536.625729
2153,2055,1297,1124,1674170536.658257
2079,2103,1120,1044,1674170536.6887808
2175,2096,1330,1066,1674170536.7198095
2140,2171,1075,1096,1674170536.7512555
2090,2073,1063,1135,1674170536.7822843
2157,2026,1232,1139,1674170536.816315
2171,2083,1264,1108,1674170536.8473432
2093,2069,1157,1038,1674170536.878784
