Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1843,2133,239,374,1674169854.826894
1840,1989,199,333,1674169854.857923
1814,1933,209,312,1674169854.889779
1843,1937,256,348,1674169854.9228091
1855,2101,113,332,1674169854.950835
1888,2097,77,329,1674169854.9847803
1953,2145,342,369,1674169855.018784
1915,2112,182,329,1674169855.0468094
1956,2165,163,420,1674169855.0798397
1967,2144,162,400,1674169855.1108716
1910,2015,201,314,1674169855.1449025
1985,2123,151,303,1674169855.17493
1936,2127,207,296,1674169855.2069585
1917,2085,190,232,1674169855.2397597
1900,2081,-5,298,1674169855.27178
1902,2076,49,329,1674169855.302781
1935,2113,69,234,1674169855.332808
1938,2099,52,221,1674169855.3668382
1899,2086,219,337,1674169855.3998692
1925,2044,263,355,1674169855.429779
1931,2102,390,360,1674169855.4637787
1929,1990,414,459,1674169855.4947793
1851,2128,449,381,1674169855.5408213
1870,2010,235,426,1674169855.5728505
1870,2010,311,447,1674169855.6058803
1872,2024,294,371,1674169855.638911
1879,1923,391,420,1674169855.672942
1934,1937,333,388,1674169855.7039697
1907,1949,260,390,1674169855.7369998
1902,2074,387,441,1674169855.7730327
1854,2087,356,442,1674169855.8060627
1840,2050,373,424,1674169855.8380923
1865,2020,233,400,1674169855.8711216
1869,2026,423,484,1674169855.9021502
1855,1941,360,391,1674169855.9381828
1847,1957,283,376,1674169855.981222
1831,2046,395,434,1674169856.013251
1839,2055,389,433,1674169856.045281
1825,2097,363,419,1674169856.0773091
1790,1953,404,411,1674169856.1083374
1874,2003,167,364,1674169856.1407788
1865,1979,268,500,1674169856.1738093
1806,1954,301,359,1674169856.2058377
1874,1976,400,388,1674169856.235865
1861,2060,328,476,1674169856.267894
1847,2065,295,402,1674169856.2999215
1839,2006,344,504,1674169856.3372922
1841,2013,359,490,1674169856.3787796
1845,2048,319,472,1674169856.411782
1838,2098,472,515,1674169856.4427826
1850,2032,320,472,1674169856.4767845
1844,2041,472,493,1674169856.5068111
1825,2017,420,474,1674169856.5407813
1837,2027,282,463,1674169856.5698082
1810,2004,441,483,1674169856.6018367
1811,2012,448,458,1674169856.6327796
1888,2143,241,368,1674169856.6668098
1867,2090,420,454,1674169856.6958373
1841,2028,255,444,1674169856.7377794
1850,2036,234,445,1674169856.7748206
1823,2004,235,431,1674169856.8068497
1829,2011,286,502,1674169856.8388789
1871,2051,442,486,1674169856.8709075
1883,2059,428,498,1674169856.9009354
1859,2142,302,487,1674169856.9321482
1849,2046,311,477,1674169856.9631755
1843,1961,362,426,1674169856.995205
1842,1965,364,438,1674169857.0272336
1800,1980,224,424,1674169857.0622659
1861,1978,207,427,1674169857.0902917
1853,2038,440,478,1674169857.138145
1849,2039,404,499,1674169857.1671712
1831,1985,617,597,1674169857.204205
1835,2060,507,612,1674169857.2457795
1849,1907,767,737,1674169857.2768073
1862,1955,611,697,1674169857.3068352
1856,1964,782,777,1674169857.3388646
1849,2078,845,799,1674169857.3698928
1813,2030,662,769,1674169857.4047825
1842,2063,709,821,1674169857.4318068
1904,2000,726,888,1674169857.4658382
1880,1952,739,804,1674169857.4938643
1822,2041,785,868,1674169857.5389047
1809,2026,797,887,1674169857.5737805
1860,2032,714,681,1674169857.6048093
1873,2001,758,784,1674169857.636838
1780,2001,813,827,1674169857.6678662
1857,1998,862,863,1674169857.6968925
1786,1981,810,878,1674169857.7319245
1799,2005,822,836,1674169857.75995
1773,2023,823,835,1674169857.794982
1859,2047,694,760,1674169857.823779
1790,2070,649,800,1674169857.857381
1771,2027,803,835,1674169857.8864076
1796,1990,798,794,1674169857.9377942
1795,2066,836,850,1674169857.9818342
1786,2018,788,783,1674169858.0098598
1837,1898,859,944,1674169858.0448928
1805,1958,901,919,1674169858.0799246
1776,1967,815,846,1674169858.1229634
1799,1994,749,811,1674169858.154992
1792,2009,794,796,1674169858.1850188
1841,2051,782,824,1674169858.2160475
1834,2030,792,839,1674169858.2480774
1828,2004,763,714,1674169858.2803664
1784,2098,810,859,1674169858.3123941
1807,2029,792,839,1674169858.3444235
1812,2048,783,831,1674169858.374781
1810,2038,792,814,1674169858.406784
1799,1986,845,850,1674169858.4378119
1801,2033,769,823,1674169858.4679265
1818,2083,778,856,1674169858.4997814
1740,1938,790,756,1674169858.5308092
1738,1957,799,738,1674169858.5631459
1811,2022,674,799,1674169858.5961869
1826,2026,624,793,1674169858.6257799
1825,1959,804,828,1674169858.6588101
1819,2008,839,838,1674169858.69078
1754,2129,696,805,1674169858.7368214
1752,1983,661,728,1674169858.7688513
1750,2049,575,748,1674169858.8007796
1784,1991,681,700,1674169858.830807
1692,1949,731,758,1674169858.8667839
1750,2003,691,718,1674169858.894809
1724,2003,703,718,1674169858.9298408
1751,1985,652,757,1674169858.9588675
1803,1968,831,783,1674169858.993899
1803,2006,840,770,1674169859.0389402
1784,2067,638,764,1674169859.0699685
1806,2047,644,765,1674169859.1029987
1755,1971,751,745,1674169859.13803
1830,2036,595,780,1674169859.1807795
1733,2008,875,850,1674169859.2137809
1737,1988,776,829,1674169859.244806
1799,2002,795,894,1674169859.277836
1777,2016,762,741,1674169859.3097813
1798,1998,624,746,1674169859.340809
1816,2041,724,781,1674169859.3728385
1808,2020,762,720,1674169859.4038668
1773,1973,732,712,1674169859.4337833
1875,2149,740,678,1674169859.4668133
1868,2122,738,787,1674169859.4997811
1785,2061,856,851,1674169859.5378158
1802,2028,839,866,1674169859.5788195
1873,2029,634,794,1674169859.6088471
1867,1998,782,827,1674169859.6398757
1873,2103,813,863,1674169859.6707797
1872,2119,853,853,1674169859.6998057
1828,2086,790,857,1674169859.7318883
1761,2099,770,851,1674169859.7627792
1273,1050,696,848,1674169859.7958558
1218,1035,891,923,1674169859.8248267
1039,326,1034,921,1674169859.8588536
1015,265,1017,839,1674169859.8898818
974,320,960,944,1674169859.9387853
1032,364,923,898,1674169859.9658093
929,308,948,849,1674169860.0008414
1008,291,941,849,1674169860.029868
962,258,828,853,1674169860.0669014
967,278,882,874,1674169860.1069381
1003,230,1026,959,1674169860.1489763
997,273,840,847,1674169860.1830072
959,257,963,854,1674169860.2220426
963,275,929,873,1674169860.2510686
954,269,959,971,1674169860.294109
1009,337,994,895,1674169860.325866
978,314,1063,914,1674169860.356894
964,223,948,857,1674169860.3879225
919,155,941,848,1674169860.420782
937,174,935,822,1674169860.4498076
913,116,836,871,1674169860.4808366
901,139,817,855,1674169860.5108638
937,181,827,869,1674169860.5437822
896,162,1002,865,1674169860.572812
991,231,1053,962,1674169860.6038406
1004,317,1061,951,1674169860.6337795
969,219,1058,1058,1674169860.6668885
1033,188,1040,1038,1674169860.6979165
890,21,973,1009,1674169860.7373838
904,142,936,820,1674169860.7760186
952,233,953,904,1674169860.808565
926,132,930,877,1674169860.8397794
920,329,818,837,1674169860.8719127
941,291,1064,956,1674169860.9037812
925,308,1106,1014,1674169860.933808
928,294,1107,1023,1674169860.9637804
911,182,1073,971,1674169860.997789
921,184,1039,953,1674169861.0278153
1010,188,1027,915,1674169861.060351
960,310,949,944,1674169861.0883758
895,144,1064,974,1674169861.137421
908,164,1108,1017,1674169861.1649644
835,153,1053,984,1674169861.2021453
895,174,1038,894,1674169861.2296903
854,92,1003,921,1674169861.265234
865,159,928,891,1674169861.3072693
893,198,992,919,1674169861.3392985
917,155,1016,993,1674169861.3703232
