Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1218,1381,1022,990,1674169568.8749433
1342,1459,726,573,1674169568.90397
1319,1268,865,631,1674169568.933997
1306,1373,806,727,1674169568.965781
1404,1386,793,615,1674169568.9959314
1383,1170,604,410,1674169569.0279605
1341,1284,808,567,1674169569.0589888
1327,1142,757,420,1674169569.0920186
1292,1056,736,446,1674169569.1240475
1306,1247,731,437,1674169569.1530745
1303,1240,824,568,1674169569.1872904
1297,1155,681,454,1674169569.217317
1309,1173,663,451,1674169569.2493465
1247,1026,841,476,1674169569.2817793
1265,1031,816,498,1674169569.3138084
1264,1116,693,400,1674169569.3458376
1322,1201,660,374,1674169569.374864
1314,1193,566,325,1674169569.4077723
1287,1171,678,335,1674169569.43878
1302,1139,778,493,1674169569.469809
1298,1109,813,517,1674169569.501186
1356,1026,691,472,1674169569.532214
1266,1220,660,577,1674169569.5647542
1320,1213,807,583,1674169569.594288
1337,1115,708,300,1674169569.6287823
1308,1106,787,455,1674169569.6588097
1314,1086,740,458,1674169569.69284
1261,1058,825,600,1674169569.7378812
1257,1148,825,470,1674169569.765907
1287,1178,724,477,1674169569.7997794
1280,1263,682,510,1674169569.829778
1272,1282,672,618,1674169569.8623393
1304,1248,720,439,1674169569.8927796
1305,1102,691,357,1674169569.9258096
1317,1137,719,444,1674169569.954805
1273,1273,756,603,1674169569.9887211
1268,1237,808,636,1674169570.0187643
1282,1249,721,622,1674169570.0517843
1339,1280,797,430,1674169570.080811
1356,1440,616,481,1674169570.1127813
1367,1183,633,439,1674169570.1408072
1283,1116,648,438,1674169570.1732836
1283,1086,601,291,1674169570.2023098
1329,1079,778,392,1674169570.2377849
1307,1094,794,361,1674169570.2658103
1278,1117,791,540,1674169570.3020296
1268,1081,712,478,1674169570.3420668
1332,1100,702,341,1674169570.3757803
1318,1076,661,326,1674169570.406782
1298,1111,614,302,1674169570.4438152
1363,1151,571,292,1674169570.4837782
1288,1134,724,533,1674169570.5128055
1271,1112,774,569,1674169570.5498397
1049,727,592,525,1674169570.5817804
1030,691,623,440,1674169570.6108084
873,-13,617,218,1674169570.6388376
850,-52,661,316,1674169570.6748693
776,-176,744,303,1674169570.7068996
851,-117,707,261,1674169570.7369263
845,-217,689,218,1674169570.7649512
854,-221,679,219,1674169570.8009844
786,-271,724,284,1674169570.8450246
882,-149,727,346,1674169570.8770542
868,-184,705,251,1674169570.9097815
858,-179,690,353,1674169570.9397786
842,-110,618,340,1674169570.9728086
827,-111,625,332,1674169571.0008318
821,-213,869,420,1674169571.0372827
842,-191,728,372,1674169571.0797808
812,-205,663,333,1674169571.1128109
822,-160,720,349,1674169571.1413417
819,-101,742,364,1674169571.1723704
889,-81,716,354,1674169571.2033982
818,-79,665,349,1674169571.244781
827,-68,651,340,1674169571.2807803
790,-141,717,384,1674169571.3138094
807,-47,757,564,1674169571.3418353
791,-149,764,495,1674169571.3772821
792,-159,778,497,1674169571.4063094
802,-190,875,437,1674169571.4383378
743,-204,677,394,1674169571.4697802
747,-153,697,411,1674169571.50281
824,-121,697,418,1674169571.5318367
814,-137,898,456,1674169571.5638661
836,-211,740,294,1674169571.593893
779,-57,670,269,1674169571.6447833
784,-76,692,370,1674169571.6871157
760,-83,699,309,1674169571.719146
764,-113,656,369,1674169571.7501762
794,-175,669,298,1674169571.7792025
800,-161,707,488,1674169571.8122334
818,-26,692,428,1674169571.844262
784,-190,601,380,1674169571.8742883
781,-82,787,382,1674169571.9073188
782,-182,760,371,1674169571.9387796
814,-71,605,356,1674169571.9692285
849,-56,595,269,1674169572.0002573
801,-62,662,218,1674169572.0444148
789,-238,713,492,1674169572.0774488
774,-100,592,364,1674169572.108477
858,-52,785,440,1674169572.1395066
781,-214,833,375,1674169572.1735373
800,-180,688,373,1674169572.2005618
831,-201,786,379,1674169572.2362065
813,-190,731,202,1674169572.2662344
881,-107,686,337,1674169572.3022668
812,-46,672,225,1674169572.3403015
773,-90,568,149,1674169572.3727808
792,-187,656,354,1674169572.4044595
810,-154,700,476,1674169572.4455075
792,-184,677,367,1674169572.4827795
794,-180,819,417,1674169572.5133274
843,-93,668,377,1674169572.543355
789,-156,670,282,1674169572.5746443
786,-174,740,309,1674169572.6067822
795,-156,807,566,1674169572.638052
814,-176,778,339,1674169572.6700816
774,-339,1091,811,1674169572.702113
781,-242,1152,836,1674169572.7311387
